
SWEPT_VAR_1 = 35.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.28  
2.8     	-69.55  
3.2     	-69.2   
3.6     	-68.46  
4       	-67.58  
4.4     	-66.57  
4.8     	-65.31  
5.2     	-63.39  
5.6     	-60.04  
6       	-51.71  
6.4     	-31.54  
6.8     	43.54   
7.2     	35.96   
7.6     	19.79   
8       	2.387   
8.4     	-14.12  
8.8     	-30.52  
9.2     	-45.86  
9.6     	-56.94  
10      	-62.82  
10.4    	-65.46  
10.8    	-66.36  
11.2    	-66.21  
11.6    	-65.24  
12      	-63.98  
12.4    	-62.74  
12.8    	-61.28  
13.2    	-59.49  
13.6    	-56.72  
14      	-50.12  
14.4    	-34.65  
14.8    	36.56   
15.2    	32.75   
15.6    	17.4    
16      	0.8909  
16.4    	-14.32  
16.8    	-29.06  
17.2    	-42.26  
17.6    	-51.93  
18      	-57.55  
18.4    	-60.25  
18.8    	-61.02  
19.2    	-60.88  
19.6    	-60.2   
20      	-59.23  
20.4    	-57.93  
20.8    	-56.29  
21.2    	-54.14  
21.6    	-50.13  
22      	-40.47  
22.4    	19.46   
22.8    	32.57   
23.2    	19.92   
23.6    	4.346   
24      	-9.918  
24.4    	-23.13  
24.8    	-35.62  
25.2    	-45.06  
25.6    	-51.5   
26      	-55.18  
26.4    	-56.84  
26.8    	-57.28  
27.2    	-56.98  
27.6    	-56.16  
28      	-55.18  
28.4    	-53.92  
28.8    	-52.12  
29.2    	-49.66  
29.6    	-44.8   
30      	-25.95  
30.4    	28.21   
30.8    	24.32   
31.2    	10.46   
31.6    	-3.348  
32      	-15.46  
32.4    	-27.14  
32.8    	-37.46  
33.2    	-44.93  
33.6    	-49.96  
34      	-52.71  
34.4    	-53.94  
34.8    	-54.15  
35.2    	-53.66  
35.6    	-52.77  
36      	-51.65  
36.4    	-50.15  
36.8    	-48.07  
37.2    	-44.65  
37.6    	-35.33  
38      	10.53   
38.4    	22.24   
38.8    	13.17   
39.2    	0.996   
39.6    	-9.894  
40      	-19.89  
40.4    	-29.75  
40.8    	-37.69  
41.2    	-43.08  
41.6    	-46.56  
42      	-48.47  
42.4    	-49.19  
42.8    	-49.18  
43.2    	-48.63  
43.6    	-47.62  
44      	-46.16  
44.4    	-44     
44.8    	-40.2   
45.2    	-30.63  
45.6    	-5.79   
46      	6.615   
46.4    	5.055   
46.8    	-1.604  
47.2    	-8.849  
47.6    	-15.91  
48      	-23.22  
48.4    	-30.2   
48.8    	-35.34  
49.2    	-38.64  
49.6    	-40.64  
50      	-41.81  
50.4    	-42.23  
50.8    	-41.89  
51.2    	-40.83  
51.6    	-38.62  
52      	-34.77  
52.4    	-28.17  
52.8    	-19.81  
53.2    	-12.69  
53.6    	-8.037  
54      	-7.926  
54.4    	-10.63  
54.8    	-14.53  
55.2    	-19.06  
55.6    	-24.05  
56      	-28.76  
56.4    	-32.21  
56.8    	-34.3   
57.2    	-35.41  
57.6    	-35.78  
58      	-35.46  
58.4    	-34.48  
58.8    	-32.79  
59.2    	-30.57  
59.6    	-28.12  
60      	-25.72  
60.4    	-22.62  
60.8    	-18.83  
61.2    	-16.7   
61.6    	-16.64  
62      	-17.95  
62.4    	-20.13  
62.8    	-22.88  
63.2    	-25.83  
63.6    	-28.45  
64      	-30.29  
64.4    	-31.28  
64.8    	-31.58  
65.2    	-31.26  
65.6    	-30.66  
66      	-29.8   
66.4    	-28.59  
66.8    	-27.25  
67.2    	-25.82  
67.6    	-24.3   
68      	-22.89  
68.4    	-22.02  
68.8    	-21.79  
69.2    	-22.13  
69.6    	-22.97  
70      	-24.13  
70.4    	-25.33  
70.8    	-26.4   
71.2    	-27.14  
71.6    	-27.59  
72      	-27.7   
72.4    	-27.6   
72.8    	-27.31  
73.2    	-26.88  
73.6    	-26.37  
74      	-25.8   
74.4    	-25.3   
74.8    	-24.88  
75.2    	-24.57  
75.6    	-24.4   
76      	-24.29  
76.4    	-24.27  
