
SWEPT_VAR_1 = 95.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-69.9   
3.2     	-70.2   
3.6     	-70.24  
4       	-70.22  
4.4     	-70.15  
4.8     	-70.03  
5.2     	-69.77  
5.6     	-69.4   
6       	-68.93  
6.4     	-68.35  
6.8     	-67.67  
7.2     	-66.93  
7.6     	-66.12  
8       	-65.37  
8.4     	-64.55  
8.8     	-63.65  
9.2     	-62.73  
9.6     	-61.72  
10      	-59.96  
10.4    	-55.98  
10.8    	-51.44  
11.2    	-39.61  
11.6    	42.91   
12      	37.86   
12.4    	21.76   
12.8    	3.999   
13.2    	-13.02  
13.6    	-30.12  
14      	-46.87  
14.4    	-59.18  
14.8    	-66     
15.2    	-69.37  
15.6    	-70.89  
16      	-71.48  
16.4    	-71.49  
16.8    	-71.06  
17.2    	-70.49  
17.6    	-69.77  
18      	-68.95  
18.4    	-68.04  
18.8    	-67.07  
19.2    	-65.97  
19.6    	-64.98  
20      	-64.06  
20.4    	-63.17  
20.8    	-62.17  
21.2    	-61.14  
21.6    	-60.11  
22      	-58.97  
22.4    	-56.25  
22.8    	-52.09  
23.2    	-41.78  
23.6    	36.41   
24      	39.01   
24.4    	24.05   
24.8    	6.756   
25.2    	-9.872  
25.6    	-26.1   
26      	-42.21  
26.4    	-55.05  
26.8    	-62.86  
27.2    	-66.92  
27.6    	-68.95  
28      	-69.77  
28.4    	-69.91  
28.8    	-69.62  
29.2    	-69.02  
29.6    	-68.27  
30      	-67.39  
30.4    	-66.55  
30.8    	-65.6   
31.2    	-64.55  
31.6    	-63.48  
32      	-62.42  
32.4    	-61.33  
32.8    	-60.25  
33.2    	-59.08  
33.6    	-57.74  
34      	-56.33  
34.4    	-54.09  
34.8    	-43.28  
35.2    	33.44   
35.6    	39.3    
36      	24.72   
36.4    	7.5     
36.8    	-9.148  
37.2    	-25.37  
37.6    	-41.47  
38      	-54.36  
38.4    	-62.36  
38.8    	-66.63  
39.2    	-68.55  
39.6    	-69.34  
40      	-69.42  
40.4    	-69.11  
40.8    	-68.55  
41.2    	-67.88  
41.6    	-67.1   
42      	-66.13  
42.4    	-65.09  
42.8    	-64.03  
43.2    	-62.97  
43.6    	-61.88  
44      	-60.8   
44.4    	-59.61  
44.8    	-57.84  
45.2    	-52.21  
45.6    	-38.44  
46      	39.22   
46.4    	37.1    
46.8    	21.63   
47.2    	4.27    
47.6    	-12.33  
48      	-28.83  
48.4    	-44.82  
48.8    	-56.99  
49.2    	-64.09  
49.6    	-67.74  
50      	-69.43  
50.4    	-70.1   
50.8    	-70.18  
51.2    	-69.91  
51.6    	-69.44  
52      	-68.8   
52.4    	-67.99  
52.8    	-67.12  
53.2    	-66.2   
53.6    	-65.26  
54      	-64.15  
54.4    	-63.16  
54.8    	-62.22  
55.2    	-61.28  
55.6    	-60.18  
56      	-57.37  
56.4    	-48.47  
56.8    	-6.755  
57.2    	42.19   
57.6    	30.95   
58      	14.27   
58.4    	-2.854  
58.8    	-19.13  
59.2    	-35.76  
59.6    	-50.47  
60      	-60.43  
60.4    	-65.84  
60.8    	-68.48  
61.2    	-69.47  
61.6    	-69.71  
62      	-69.46  
62.4    	-68.83  
62.8    	-68.05  
63.2    	-67.25  
63.6    	-66.37  
64      	-65.47  
64.4    	-64.58  
64.8    	-63.64  
65.2    	-62.74  
65.6    	-61.82  
66      	-60.85  
66.4    	-59.77  
66.8    	-58.68  
67.2    	-57.58  
67.6    	-55.83  
68      	-49.88  
68.4    	-25.35  
68.8    	42.65   
69.2    	33.31   
69.6    	16.8    
70      	-0.4346 
70.4    	-16.69  
70.8    	-33.1   
71.2    	-48.03  
71.6    	-58.54  
72      	-64.37  
72.4    	-67.23  
72.8    	-68.45  
73.2    	-68.85  
73.6    	-68.78  
74      	-68.38  
74.4    	-67.76  
74.8    	-66.93  
75.2    	-65.97  
75.6    	-65.02  
76      	-64.09  
76.4    	-63.17  
