
SWEPT_VAR_1 = 25.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.15  
2.8     	-68.68  
3.2     	-67.34  
3.6     	-65.56  
4       	-63.33  
4.4     	-60.41  
4.8     	-55.6   
5.2     	-45.93  
5.6     	22.23   
6       	42.18   
6.4     	28.1    
6.8     	10.88   
7.2     	-6.053  
7.6     	-22.02  
8       	-37.91  
8.4     	-50.72  
8.8     	-58.47  
9.2     	-62.1   
9.6     	-63.4   
10      	-63.26  
10.4    	-62.41  
10.8    	-61.04  
11.2    	-59.5   
11.6    	-57.67  
12      	-55.52  
12.4    	-51.63  
12.8    	-39.73  
13.2    	26.37   
13.6    	32.44   
14      	18.77   
14.4    	2.953   
14.8    	-11.44  
15.2    	-24.87  
15.6    	-37.08  
16      	-46.05  
16.4    	-51.86  
16.8    	-54.9   
17.2    	-56.05  
17.6    	-55.97  
18      	-55.24  
18.4    	-54.12  
18.8    	-52.43  
19.2    	-50     
19.6    	-46.33  
20      	-36.79  
20.4    	11.74   
20.8    	22.35   
21.2    	12      
21.6    	-0.7245 
22      	-12.04  
22.4    	-22.46  
22.8    	-31.83  
23.2    	-38.57  
23.6    	-42.69  
24      	-44.93  
24.4    	-45.89  
24.8    	-45.81  
25.2    	-44.93  
25.6    	-43.23  
26      	-40.6   
26.4    	-36.36  
26.8    	-28.66  
27.2    	-17.8   
27.6    	-10.41  
28      	-9.098  
28.4    	-11.93  
28.8    	-16.43  
29.2    	-21.44  
29.6    	-26.35  
30      	-30.38  
30.4    	-33.07  
30.8    	-34.44  
31.2    	-34.79  
31.6    	-34.42  
32      	-33.49  
32.4    	-32.21  
32.8    	-30.49  
33.2    	-28.69  
33.6    	-26.94  
34      	-25.23  
34.4    	-23.74  
34.8    	-23.01  
35.2    	-23.26  
35.6    	-24.2   
36      	-25.45  
36.4    	-26.64  
36.8    	-27.54  
37.2    	-27.97  
37.6    	-28.09  
38      	-27.93  
38.4    	-27.57  
38.8    	-27.04  
39.2    	-26.51  
39.6    	-26.06  
40      	-25.64  
40.4    	-25.28  
40.8    	-24.88  
41.2    	-24.63  
41.6    	-24.5   
42      	-24.38  
42.4    	-24.28  
42.8    	-24.22  
43.2    	-24.27  
43.6    	-24.36  
44      	-24.49  
44.4    	-24.57  
44.8    	-24.58  
45.2    	-24.64  
45.6    	-24.66  
46      	-24.55  
46.4    	-24.42  
46.8    	-24.24  
47.2    	-24.02  
47.6    	-23.81  
48      	-23.64  
48.4    	-23.47  
48.8    	-23.31  
49.2    	-23.16  
49.6    	-22.94  
50      	-22.71  
50.4    	-22.61  
50.8    	-22.61  
51.2    	-22.61  
51.6    	-22.64  
52      	-22.68  
52.4    	-22.73  
52.8    	-22.74  
53.2    	-22.73  
53.6    	-22.65  
54      	-22.53  
54.4    	-22.43  
54.8    	-22.42  
55.2    	-22.39  
55.6    	-22.32  
56      	-22.26  
56.4    	-22.14  
56.8    	-22.04  
57.2    	-21.95  
57.6    	-21.91  
58      	-21.92  
58.4    	-21.94  
58.8    	-22.02  
59.2    	-22.12  
59.6    	-22.19  
60      	-22.17  
60.4    	-22.1   
60.8    	-22.05  
61.2    	-22     
61.6    	-22     
62      	-21.95  
62.4    	-21.94  
62.8    	-21.9   
63.2    	-21.87  
63.6    	-21.86  
64      	-21.87  
64.4    	-21.88  
64.8    	-21.92  
65.2    	-22.04  
65.6    	-22.18  
66      	-22.29  
66.4    	-22.34  
66.8    	-22.43  
67.2    	-22.5   
67.6    	-22.55  
68      	-22.58  
68.4    	-22.6   
68.8    	-22.59  
69.2    	-22.61  
69.6    	-22.63  
70      	-22.7   
70.4    	-22.71  
70.8    	-22.69  
71.2    	-22.71  
71.6    	-22.74  
72      	-22.74  
72.4    	-22.71  
72.8    	-22.66  
73.2    	-22.66  
73.6    	-22.7   
74      	-22.7   
74.4    	-22.63  
74.8    	-22.57  
75.2    	-22.48  
75.6    	-22.43  
76      	-22.4   
76.4    	-22.34  
