
SWEPT_VAR_1 = 65.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.34  
2.8     	-69.66  
3.2     	-69.56  
3.6     	-69.24  
4       	-68.85  
4.4     	-68.33  
4.8     	-67.61  
5.2     	-66.76  
5.6     	-65.62  
6       	-64.26  
6.4     	-62.83  
6.8     	-61     
7.2     	-57.91  
7.6     	-49.35  
8       	-6.025  
8.4     	43.64   
8.8     	31.75   
9.2     	14.83   
9.6     	-2.536  
10      	-19.12  
10.4    	-36.08  
10.8    	-51.03  
11.2    	-60.93  
11.6    	-66.16  
12      	-68.69  
12.4    	-69.69  
12.8    	-69.76  
13.2    	-69.53  
13.6    	-68.96  
14      	-68.12  
14.4    	-67.08  
14.8    	-66.03  
15.2    	-64.87  
15.6    	-63.6   
16      	-62.34  
16.4    	-60.99  
16.8    	-58.72  
17.2    	-53.27  
17.6    	-42.23  
18      	31.69   
18.4    	38.8    
18.8    	24.38   
19.2    	7.227   
19.6    	-9.338  
20      	-25.38  
20.4    	-41.17  
20.8    	-53.64  
21.2    	-61.19  
21.6    	-65.07  
22      	-66.85  
22.4    	-67.46  
22.8    	-67.33  
23.2    	-66.8   
23.6    	-66.03  
24      	-65.03  
24.4    	-63.97  
24.8    	-62.95  
25.2    	-61.72  
25.6    	-60.37  
26      	-58.88  
26.4    	-55.38  
26.8    	-43.04  
27.2    	27.18   
27.6    	38.63   
28      	24.34   
28.4    	7.275   
28.8    	-9.172  
29.2    	-25.03  
29.6    	-40.62  
30      	-53.04  
30.4    	-60.72  
30.8    	-64.62  
31.2    	-66.39  
31.6    	-66.94  
32      	-66.91  
32.4    	-66.35  
32.8    	-65.52  
33.2    	-64.45  
33.6    	-63.37  
34      	-62.32  
34.4    	-61.17  
34.8    	-59.81  
35.2    	-57.43  
35.6    	-51.68  
36      	-34.06  
36.4    	39.54   
36.8    	34.17   
37.2    	18.2    
37.6    	1.144   
38      	-14.82  
38.4    	-30.71  
38.8    	-45.38  
39.2    	-56.06  
39.6    	-62.17  
40      	-65.22  
40.4    	-66.49  
40.8    	-66.85  
41.2    	-66.62  
41.6    	-65.92  
42      	-64.96  
42.4    	-63.99  
42.8    	-63.05  
43.2    	-61.98  
43.6    	-60.63  
44      	-58.29  
44.4    	-55.28  
44.8    	-50.66  
45.2    	-34.5   
45.6    	40.92   
46      	33.48   
46.4    	17.04   
46.8    	-0.1683 
47.2    	-16.21  
47.6    	-32.31  
48      	-46.88  
48.4    	-57.02  
48.8    	-62.54  
49.2    	-65.18  
49.6    	-66.18  
50      	-66.39  
50.4    	-66.02  
50.8    	-65.41  
51.2    	-64.51  
51.6    	-63.51  
52      	-62.42  
52.4    	-61.18  
52.8    	-59.6   
53.2    	-56.79  
53.6    	-50.25  
54      	-34.87  
54.4    	38.22   
54.8    	34.32   
55.2    	18.77   
55.6    	1.901   
56      	-13.83  
56.4    	-29.31  
56.8    	-43.76  
57.2    	-54.61  
57.6    	-60.99  
58      	-64.27  
58.4    	-65.75  
58.8    	-66.23  
59.2    	-66.13  
59.6    	-65.61  
60      	-64.73  
60.4    	-63.74  
60.8    	-62.68  
61.2    	-61.58  
61.6    	-60.43  
62      	-59.05  
62.4    	-57.1   
62.8    	-51.72  
63.2    	-37.21  
63.6    	38.29   
64      	35.13   
64.4    	19.43   
64.8    	2.388   
65.2    	-13.51  
65.6    	-29.16  
66      	-43.89  
66.4    	-54.91  
66.8    	-61.28  
67.2    	-64.52  
67.6    	-65.92  
68      	-66.25  
68.4    	-66     
68.8    	-65.31  
69.2    	-64.47  
69.6    	-63.49  
70      	-62.43  
70.4    	-61.2   
70.8    	-59.98  
71.2    	-58.62  
71.6    	-56.68  
72      	-51.7   
72.4    	-39.47  
72.8    	35.78   
73.2    	36.17   
73.6    	20.68   
74      	3.569   
74.4    	-12.47  
74.8    	-28.19  
75.2    	-43.22  
75.6    	-54.58  
76      	-61.09  
76.4    	-64.24  
76.8    	-65.5   
