
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.34  
2.8     	-69.84  
3.2     	-70.09  
3.6     	-69.91  
4       	-69.56  
4.4     	-69.1   
4.8     	-68.47  
5.2     	-67.64  
5.6     	-66.76  
6       	-65.75  
6.4     	-64.6   
6.8     	-63.41  
7.2     	-61.83  
7.6     	-58.61  
8       	-52.24  
8.4     	-36.7   
8.8     	41.96   
9.2     	37.83   
9.6     	22.2    
10      	4.776   
10.4    	-11.97  
10.8    	-28.61  
11.2    	-44.82  
11.6    	-57.19  
12      	-64.44  
12.4    	-68.22  
12.8    	-69.99  
13.2    	-70.48  
13.6    	-70.44  
14      	-70.11  
14.4    	-69.5   
14.8    	-68.63  
15.2    	-67.6   
15.6    	-66.46  
16      	-65.31  
16.4    	-64.09  
16.8    	-62.88  
17.2    	-61.5   
17.6    	-58.43  
18      	-52.38  
18.4    	-40.42  
18.8    	35.05   
19.2    	38.3    
19.6    	23.61   
20      	6.438   
20.4    	-10.08  
20.8    	-26.08  
21.2    	-41.73  
21.6    	-54.04  
22      	-61.54  
22.4    	-65.43  
22.8    	-67.22  
23.2    	-67.87  
23.6    	-67.9   
24      	-67.58  
24.4    	-66.9   
24.8    	-66.03  
25.2    	-64.86  
25.6    	-63.69  
26      	-62.61  
26.4    	-61.47  
26.8    	-59.45  
27.2    	-54.03  
27.6    	-43.65  
28      	18.85   
28.4    	39.45   
28.8    	26.36   
29.2    	9.55    
29.6    	-6.9    
30      	-22.51  
30.4    	-38.1   
30.8    	-51.13  
31.2    	-59.69  
31.6    	-64.4   
32      	-66.79  
32.4    	-67.8   
32.8    	-67.88  
33.2    	-67.48  
33.6    	-66.81  
34      	-65.94  
34.4    	-64.99  
34.8    	-64.03  
35.2    	-63.02  
35.6    	-61.89  
36      	-60.52  
36.4    	-58.24  
36.8    	-54.04  
37.2    	-47.93  
37.6    	-16.4   
38      	41.06   
38.4    	30.97   
38.8    	14.54   
39.2    	-2.325  
39.6    	-18.14  
40      	-34.02  
40.4    	-48.08  
40.8    	-57.99  
41.2    	-63.58  
41.6    	-66.48  
42      	-67.83  
42.4    	-68.22  
42.8    	-67.93  
43.2    	-67.36  
43.6    	-66.65  
44      	-65.79  
44.4    	-64.92  
44.8    	-63.93  
45.2    	-62.95  
45.6    	-61.95  
46      	-60.72  
46.4    	-58.04  
46.8    	-51.35  
47.2    	-33.93  
47.6    	40.08   
48      	34.96   
48.4    	19.25   
48.8    	2.184   
49.2    	-13.88  
49.6    	-29.81  
50      	-44.75  
50.4    	-55.96  
50.8    	-62.55  
51.2    	-65.95  
51.6    	-67.44  
52      	-67.84  
52.4    	-67.45  
52.8    	-66.8   
53.2    	-66.05  
53.6    	-65.12  
54      	-64.04  
54.4    	-62.71  
54.8    	-61.25  
55.2    	-59.44  
55.6    	-55.93  
56      	-51.36  
56.4    	-43.86  
56.8    	23.18   
57.2    	38.87   
57.6    	25.18   
58      	8.216   
58.4    	-8.184  
58.8    	-23.87  
59.2    	-39.32  
59.6    	-51.75  
60      	-59.65  
60.4    	-63.84  
60.8    	-65.78  
61.2    	-66.53  
61.6    	-66.64  
62      	-66.34  
62.4    	-65.76  
62.8    	-65.02  
63.2    	-64.18  
63.6    	-63.27  
64      	-62.35  
64.4    	-61.41  
64.8    	-60.28  
65.2    	-58.09  
65.6    	-53.67  
66      	-47.13  
66.4    	-13.75  
66.8    	40.84   
67.2    	30.47   
67.6    	13.99   
68      	-2.794  
68.4    	-18.51  
68.8    	-34.31  
69.2    	-48.22  
69.6    	-58.03  
70      	-63.58  
70.4    	-66.45  
70.8    	-67.51  
71.2    	-67.61  
71.6    	-67.27  
72      	-66.61  
72.4    	-65.77  
72.8    	-64.88  
73.2    	-63.9   
73.6    	-62.89  
74      	-61.88  
74.4    	-60.83  
74.8    	-59.72  
75.2    	-58.5   
75.6    	-56.67  
76      	-50.81  
76.4    	-28.47  
