
SWEPT_VAR_1 = 55.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.3   
2.8     	-69.7   
3.2     	-69.77  
3.6     	-69.59  
4       	-68.91  
4.4     	-67.98  
4.8     	-66.67  
5.2     	-65.14  
5.6     	-63.5   
6       	-61.8   
6.4     	-60.13  
6.8     	-58.5   
7.2     	-56.25  
7.6     	-50.18  
8       	-31.7   
8.4     	44.1    
8.8     	35.46   
9.2     	18.96   
9.6     	1.35    
10      	-15.37  
10.4    	-32.35  
10.8    	-48.31  
11.2    	-59.32  
11.6    	-65.18  
12      	-68     
12.4    	-69.11  
12.8    	-69.28  
13.2    	-68.94  
13.6    	-68.28  
14      	-67.3   
14.4    	-66.33  
14.8    	-65.36  
15.2    	-64.18  
15.6    	-62.83  
16      	-60.6   
16.4    	-56.25  
16.8    	-52.76  
17.2    	-49.33  
17.6    	-34.1   
18      	40.03   
18.4    	34.53   
18.8    	18.7    
19.2    	1.669   
19.6    	-14.31  
20      	-30.16  
20.4    	-44.9   
20.8    	-55.78  
21.2    	-61.94  
21.6    	-65.03  
22      	-66.36  
22.4    	-66.66  
22.8    	-66.29  
23.2    	-65.63  
23.6    	-64.69  
24      	-63.53  
24.4    	-62.33  
24.8    	-60.94  
25.2    	-59.38  
25.6    	-56.02  
26      	-48.25  
26.4    	-26.12  
26.8    	39.42   
27.2    	31.8    
27.6    	15.87   
28      	-0.7483 
28.4    	-16.13  
28.8    	-31.34  
29.2    	-45.01  
29.6    	-54.95  
30      	-60.69  
30.4    	-63.51  
30.8    	-64.69  
31.2    	-64.86  
31.6    	-64.4   
32      	-63.46  
32.4    	-62.3   
32.8    	-61.06  
33.2    	-59.75  
33.6    	-58.18  
34      	-55.8   
34.4    	-50.49  
34.8    	-38.39  
35.2    	32.19   
35.6    	35.07   
36      	20.55   
36.4    	4.009   
36.8    	-11.38  
37.2    	-26.2   
37.6    	-40.36  
38      	-51.35  
38.4    	-58.26  
38.8    	-61.97  
39.2    	-63.74  
39.6    	-64.2   
40      	-63.84  
40.4    	-63.06  
40.8    	-62.16  
41.2    	-61.09  
41.6    	-59.91  
42      	-58.52  
42.4    	-56.49  
42.8    	-51.71  
43.2    	-42.41  
43.6    	22.01   
44      	36.65   
44.4    	23.43   
44.8    	6.992   
45.2    	-8.562  
45.6    	-23.14  
46      	-37.28  
46.4    	-48.6   
46.8    	-56.22  
47.2    	-60.43  
47.6    	-62.42  
48      	-63.19  
48.4    	-63.28  
48.8    	-62.99  
49.2    	-62.4   
49.6    	-61.46  
50      	-60.27  
50.4    	-58.94  
50.8    	-56.88  
51.2    	-52.52  
51.6    	-44.15  
52      	14.21   
52.4    	36.97   
52.8    	24.56   
53.2    	8.304   
53.6    	-7.11   
54      	-21.37  
54.4    	-35.32  
54.8    	-46.64  
55.2    	-54.42  
55.6    	-58.8   
56      	-60.96  
56.4    	-61.74  
56.8    	-61.71  
57.2    	-61.12  
57.6    	-60.26  
58      	-59.22  
58.4    	-58.06  
58.8    	-56.71  
59.2    	-54.82  
59.6    	-51.47  
60      	-42.58  
60.4    	16.99   
60.8    	35.46   
61.2    	22.81   
61.6    	6.779   
62      	-8.163  
62.4    	-21.97  
62.8    	-35.51  
63.2    	-46.46  
63.6    	-53.99  
64      	-58.33  
64.4    	-60.52  
64.8    	-61.45  
65.2    	-61.57  
65.6    	-61.11  
66      	-60.34  
66.4    	-59.43  
66.8    	-58.23  
67.2    	-56.49  
67.6    	-54.41  
68      	-50.58  
68.4    	-38.58  
68.8    	30.36   
69.2    	33.25   
69.6    	19.13   
70      	3.233   
70.4    	-11.19  
70.8    	-24.8   
71.2    	-37.85  
71.6    	-48.03  
72      	-54.85  
72.4    	-58.67  
72.8    	-60.58  
73.2    	-61.34  
73.6    	-61.33  
74      	-60.79  
74.4    	-60     
74.8    	-59.08  
75.2    	-58     
75.6    	-56.72  
76      	-54.9   
76.4    	-51.4   
76.8    	-43.08  
