
SWEPT_VAR_1 = 15.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.18  
2.8     	-68.62  
3.2     	-66.73  
3.6     	-63.76  
4       	-60.05  
4.4     	-55.72  
4.8     	-47.67  
5.2     	27.52   
5.6     	41.52   
6       	27.06   
6.4     	9.8     
6.8     	-6.878  
7.2     	-22.44  
7.6     	-37.37  
8       	-48.31  
8.4     	-54.43  
8.8     	-56.79  
9.2     	-56.95  
9.6     	-56.27  
10      	-54.92  
10.4    	-53.3   
10.8    	-51.4   
11.2    	-48.88  
11.6    	-43.71  
12      	-19.76  
12.4    	23.06   
12.8    	17.07   
13.2    	3.923   
13.6    	-8.422  
14      	-19.23  
14.4    	-29.01  
14.8    	-36.3   
15.2    	-40.35  
15.6    	-42.33  
16      	-43     
16.4    	-42.57  
16.8    	-41.32  
17.2    	-39.07  
17.6    	-35.52  
18      	-29.88  
18.4    	-23.15  
18.8    	-18.78  
19.2    	-17.5   
19.6    	-18.86  
20      	-21.64  
20.4    	-24.75  
20.8    	-27.4   
21.2    	-29.25  
21.6    	-30.26  
22      	-30.49  
22.4    	-30.12  
22.8    	-29.45  
23.2    	-28.61  
23.6    	-27.72  
24      	-26.88  
24.4    	-26.16  
24.8    	-25.68  
25.2    	-25.36  
25.6    	-25.18  
26      	-25.15  
26.4    	-25.24  
26.8    	-25.29  
27.2    	-25.16  
27.6    	-24.99  
28      	-24.82  
28.4    	-24.62  
28.8    	-24.32  
29.2    	-23.99  
29.6    	-23.64  
30      	-23.33  
30.4    	-23.05  
30.8    	-22.84  
31.2    	-22.68  
31.6    	-22.5   
32      	-22.36  
32.4    	-22.28  
32.8    	-22.21  
33.2    	-22.04  
33.6    	-21.79  
34      	-21.59  
34.4    	-21.37  
34.8    	-21.3   
35.2    	-21.24  
35.6    	-21.12  
36      	-20.99  
36.4    	-20.84  
36.8    	-20.69  
37.2    	-20.6   
37.6    	-20.49  
38      	-20.31  
38.4    	-20.14  
38.8    	-20.01  
39.2    	-19.92  
39.6    	-19.84  
40      	-19.79  
40.4    	-19.65  
40.8    	-19.52  
41.2    	-19.43  
41.6    	-19.33  
42      	-19.22  
42.4    	-19.09  
42.8    	-19     
43.2    	-18.91  
43.6    	-18.78  
44      	-18.71  
44.4    	-18.66  
44.8    	-18.58  
45.2    	-18.51  
45.6    	-18.48  
46      	-18.5   
46.4    	-18.53  
46.8    	-18.57  
47.2    	-18.62  
47.6    	-18.67  
48      	-18.72  
48.4    	-18.72  
48.8    	-18.74  
49.2    	-18.8   
49.6    	-18.91  
50      	-19.03  
50.4    	-19.12  
50.8    	-19.15  
51.2    	-19.17  
51.6    	-19.19  
52      	-19.21  
52.4    	-19.23  
52.8    	-19.27  
53.2    	-19.29  
53.6    	-19.27  
54      	-19.3   
54.4    	-19.41  
54.8    	-19.57  
55.2    	-19.71  
55.6    	-19.7   
56      	-19.67  
56.4    	-19.72  
56.8    	-19.7   
57.2    	-19.62  
57.6    	-19.56  
58      	-19.52  
58.4    	-19.54  
58.8    	-19.5   
59.2    	-19.52  
59.6    	-19.54  
60      	-19.56  
60.4    	-19.61  
60.8    	-19.66  
61.2    	-19.7   
61.6    	-19.73  
62      	-19.72  
62.4    	-19.74  
62.8    	-19.75  
63.2    	-19.73  
63.6    	-19.69  
64      	-19.73  
64.4    	-19.73  
64.8    	-19.72  
65.2    	-19.71  
65.6    	-19.66  
66      	-19.63  
66.4    	-19.61  
66.8    	-19.56  
67.2    	-19.47  
67.6    	-19.46  
68      	-19.46  
68.4    	-19.49  
68.8    	-19.55  
69.2    	-19.51  
69.6    	-19.42  
70      	-19.4   
70.4    	-19.48  
70.8    	-19.54  
71.2    	-19.52  
71.6    	-19.48  
72      	-19.42  
72.4    	-19.43  
72.8    	-19.48  
73.2    	-19.47  
73.6    	-19.43  
74      	-19.37  
74.4    	-19.33  
74.8    	-19.29  
75.2    	-19.21  
75.6    	-19.17  
76      	-19.2   
