
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
118     	-13.46  
118.4   	-13.42  
118.8   	-13.4   
119.2   	-13.44  
119.6   	-13.47  
120     	-13.47  
120.4   	-13.56  
120.8   	-13.53  
121.2   	-13.52  
121.6   	-13.53  
122     	-13.57  
122.4   	-13.62  
122.8   	-13.67  
123.2   	-13.7   
123.6   	-13.74  
124     	-13.75  
124.4   	-13.75  
124.8   	-13.72  
125.2   	-13.74  
125.6   	-13.74  
126     	-13.74  
126.4   	-13.76  
126.8   	-13.79  
127.2   	-13.81  
127.6   	-13.85  
128     	-13.9   
128.4   	-13.85  
128.8   	-13.81  
129.2   	-13.76  
129.6   	-13.76  
130     	-13.8   
130.4   	-13.84  
130.8   	-13.85  
131.2   	-13.83  
131.6   	-13.78  
132     	-13.77  
132.4   	-13.74  
132.8   	-13.76  
133.2   	-13.74  
133.6   	-13.77  
134     	-13.8   
134.4   	-13.8   
134.8   	-13.78  
135.2   	-13.74  
135.6   	-13.7   
136     	-13.71  
136.4   	-13.7   
136.8   	-13.67  
137.2   	-13.67  
137.6   	-13.69  
138     	-13.66  
138.4   	-13.66  
138.8   	-13.7   
139.2   	-13.7   
139.6   	-13.68  
140     	-13.68  
140.4   	-13.68  
140.8   	-13.72  
141.2   	-13.76  
141.6   	-13.78  
142     	-13.76  
142.4   	-13.72  
142.8   	-13.67  
143.2   	-13.68  
143.6   	-13.75  
144     	-13.78  
144.4   	-13.83  
144.8   	-13.86  
145.2   	-13.9   
145.6   	-13.88  
146     	-13.9   
146.4   	-13.89  
146.8   	-13.86  
147.2   	-13.83  
147.6   	-13.83  
148     	-13.84  
148.4   	-13.85  
148.8   	-13.88  
149.2   	-13.8   
149.6   	-13.79  
150     	-13.77  
150.4   	-13.7   
150.8   	-13.66  
151.2   	-13.64  
151.6   	-13.64  
152     	-13.64  
152.4   	-13.57  
152.8   	-13.49  
153.2   	-13.43  
153.6   	-13.42  
154     	-13.47  
154.4   	-13.53  
154.8   	-13.55  
155.2   	-13.56  
155.6   	-13.58  
156     	-13.57  
156.4   	-13.52  
156.8   	-13.54  
157.2   	-13.56  
157.6   	-13.51  
158     	-13.5   
158.4   	-13.5   
158.8   	-13.47  
159.2   	-13.37  
159.6   	-13.29  
160     	-13.26  
160.4   	-13.29  
160.8   	-13.33  
161.2   	-13.39  
161.6   	-13.38  
162     	-13.34  
162.4   	-13.33  
162.8   	-13.4   
163.2   	-13.46  
163.6   	-13.49  
164     	-13.53  
164.4   	-13.54  
164.8   	-13.54  
165.2   	-13.53  
165.6   	-13.51  
166     	-13.54  
166.4   	-13.61  
166.8   	-13.66  
167.2   	-13.66  
167.6   	-13.69  
168     	-13.73  
168.4   	-13.73  
168.8   	-13.73  
169.2   	-13.74  
169.6   	-13.74  
170     	-13.79  
170.4   	-13.83  
170.8   	-13.8   
171.2   	-13.83  
171.6   	-13.81  
172     	-13.76  
172.4   	-13.72  
172.8   	-13.68  
173.2   	-13.69  
173.6   	-13.71  
174     	-13.76  
174.4   	-13.76  
174.8   	-13.79  
175.2   	-13.83  
175.6   	-13.85  
176     	-13.86  
176.4   	-13.92  
176.8   	-13.88  
177.2   	-13.9   
177.6   	-13.87  
178     	-13.84  
178.4   	-13.79  
178.8   	-13.76  
179.2   	-13.75  
179.6   	-13.74  
180     	-13.76  
180.4   	-13.8   
180.8   	-13.87  
181.2   	-13.84  
181.6   	-13.79  
182     	-13.72  
182.4   	-13.7   
182.8   	-13.72  
183.2   	-13.69  
183.6   	-13.67  
184     	-13.66  
184.4   	-13.61  
184.8   	-13.54  
185.2   	-13.46  
185.6   	-13.49  
186     	-13.54  
186.4   	-13.59  
186.8   	-13.67  
187.2   	-13.61  
187.6   	-13.61  
188     	-13.64  
188.4   	-13.65  
188.8   	-13.62  
189.2   	-13.65  
189.6   	-13.66  
190     	-13.71  
190.4   	-13.72  
190.8   	-13.74  
191.2   	-13.74  
191.6   	-13.78  
192     	-13.78  
192.4   	-13.76  
192.8   	-13.8   
193.2   	-13.79  
193.6   	-13.72  
194     	-13.7   
194.4   	-13.68  
194.8   	-13.69  
195.2   	-13.69  
195.6   	-13.68  
196     	-13.66  
196.4   	-13.61  
196.8   	-13.58  
197.2   	-13.59  
197.6   	-13.6   
198     	-13.61  
198.4   	-13.64  
198.8   	-13.69  
199.2   	-13.68  
199.6   	-13.69  
200     	-13.71  
200.4   	-13.7   
200.8   	-13.7   
201.2   	-13.74  
201.6   	-13.72  
202     	-13.76  
202.4   	-13.77  
202.8   	-13.8   
203.2   	-13.76  
203.6   	-13.72  
204     	-13.75  
204.4   	-13.73  
204.8   	-13.74  
205.2   	-13.76  
205.6   	-13.8   
206     	-13.77  
206.4   	-13.78  
206.8   	-13.76  
207.2   	-13.75  
207.6   	-13.75  
208     	-13.71  
208.4   	-13.66  
208.8   	-13.62  
209.2   	-13.64  
209.6   	-13.72  
210     	-13.75  
210.4   	-13.76  
210.8   	-13.73  
211.2   	-13.68  
211.6   	-13.59  
212     	-13.59  
212.4   	-13.62  
212.8   	-13.63  
213.2   	-13.71  
213.6   	-13.77  
214     	-13.81  
214.4   	-13.84  
214.8   	-13.84  
215.2   	-13.83  
215.6   	-13.8   
216     	-13.76  
216.4   	-13.72  
216.8   	-13.68  
217.2   	-13.68  
217.6   	-13.69  
218     	-13.71  
218.4   	-13.76  
218.8   	-13.77  
219.2   	-13.78  
219.6   	-13.77  
220     	-13.79  
220.4   	-13.76  
220.8   	-13.74  
221.2   	-13.75  
221.6   	-13.69  
222     	-13.66  
222.4   	-13.64  
222.8   	-13.66  
223.2   	-13.7   
223.6   	-13.73  
224     	-13.71  
224.4   	-13.68  
224.8   	-13.62  
225.2   	-13.52  
225.6   	-13.44  
226     	-13.42  
226.4   	-13.41  
226.8   	-13.38  
227.2   	-13.37  
227.6   	-13.35  
228     	-13.31  
228.4   	-13.32  
228.8   	-13.31  
229.2   	-13.32  
229.6   	-13.33  
230     	-13.34  
230.4   	-13.37  
230.8   	-13.41  
231.2   	-13.49  
231.6   	-13.53  
232     	-13.54  
232.4   	-13.58  
232.8   	-13.58  
233.2   	-13.62  
233.6   	-13.62  
234     	-13.59  
234.4   	-13.58  
234.8   	-13.55  
235.2   	-13.59  
235.6   	-13.61  
236     	-13.59  
236.4   	-13.59  
236.8   	-13.61  
237.2   	-13.6   
237.6   	-13.61  
238     	-13.63  
238.4   	-13.68  
238.8   	-13.75  
239.2   	-13.77  
239.6   	-13.76  
240     	-13.7   
240.4   	-13.64  
240.8   	-13.62  
241.2   	-13.66  
241.6   	-13.68  
242     	-13.69  
242.4   	-13.71  
242.8   	-13.74  
243.2   	-13.78  
243.6   	-13.77  
244     	-13.78  
244.4   	-13.72  
244.8   	-13.64  
245.2   	-13.58  
245.6   	-13.54  
246     	-13.55  
246.4   	-13.53  
246.8   	-13.52  
247.2   	-13.52  
247.6   	-13.56  
248     	-13.55  
248.4   	-13.57  
248.8   	-13.57  
249.2   	-13.55  
249.6   	-13.6   
250     	-13.64  
250.4   	-13.66  
250.8   	-13.65  
251.2   	-13.68  
251.6   	-13.66  
252     	-13.62  
252.4   	-13.58  
252.8   	-13.54  
253.2   	-13.55  
253.6   	-13.61  
254     	-13.67  
254.4   	-13.7   
254.8   	-13.74  
255.2   	-13.76  
255.6   	-13.69  
256     	-13.6   
256.4   	-13.58  
256.8   	-13.59  
257.2   	-13.6   
257.6   	-13.65  
258     	-13.63  
258.4   	-13.64  
258.8   	-13.66  
259.2   	-13.65  
259.6   	-13.59  
260     	-13.57  
260.4   	-13.56  
260.8   	-13.59  
261.2   	-13.56  
261.6   	-13.53  
262     	-13.57  
262.4   	-13.66  
262.8   	-13.69  
263.2   	-13.72  
263.6   	-13.73  
264     	-13.7   
264.4   	-13.68  
264.8   	-13.66  
265.2   	-13.65  
265.6   	-13.65  
266     	-13.61  
266.4   	-13.57  
266.8   	-13.53  
267.2   	-13.49  
267.6   	-13.47  
268     	-13.48  
268.4   	-13.51  
268.8   	-13.51  
269.2   	-13.54  
269.6   	-13.54  
270     	-13.54  
270.4   	-13.53  
270.8   	-13.57  
271.2   	-13.62  
271.6   	-13.67  
272     	-13.74  
272.4   	-13.77  
272.8   	-13.8   
273.2   	-13.83  
273.6   	-13.85  
274     	-13.85  
274.4   	-13.86  
274.8   	-13.88  
275.2   	-13.91  
275.6   	-13.84  
276     	-13.8   
276.4   	-13.78  
276.8   	-13.77  
277.2   	-13.82  
277.6   	-13.84  
278     	-13.82  
278.4   	-13.78  
278.8   	-13.75  
279.2   	-13.77  
279.6   	-13.79  
280     	-13.77  
280.4   	-13.79  
280.8   	-13.8   
281.2   	-13.83  
281.6   	-13.83  
282     	-13.87  
282.4   	-13.9   
282.8   	-13.85  
283.2   	-13.87  
283.6   	-13.87  
284     	-13.88  
284.4   	-13.89  
284.8   	-13.93  
285.2   	-13.95  
285.6   	-13.99  
286     	-13.96  
286.4   	-13.89  
286.8   	-13.85  
287.2   	-13.85  
287.6   	-13.83  
288     	-13.87  
288.4   	-13.84  
288.8   	-13.8   
289.2   	-13.73  
289.6   	-13.61  
290     	-13.58  
290.4   	-13.56  
290.8   	-13.57  
291.2   	-13.63  
291.6   	-13.67  
292     	-13.69  
292.4   	-13.77  
292.8   	-13.83  
293.2   	-13.92  
293.6   	-14.02  
294     	-14.06  
294.4   	-14.03  
294.8   	-14.05  
295.2   	-14.09  
295.6   	-14.05  
296     	-14.06  
296.4   	-14.07  
296.8   	-14.05  
297.2   	-14.03  
297.6   	-14.09  
298     	-14.09  
298.4   	-14.06  
298.8   	-13.99  
299.2   	-13.96  
299.6   	-13.94  
300     	-14.01  
300.4   	-14.06  
300.8   	-14.03  
301.2   	-14     
