
SWEPT_VAR_1 = 45.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.25  
2.8     	-69.56  
3.2     	-69.52  
3.6     	-69.21  
4       	-68.71  
4.4     	-68     
4.8     	-66.48  
5.2     	-63.18  
5.6     	-57.44  
6       	-50.24  
6.4     	-33.95  
6.8     	42.43   
7.2     	37.1    
7.6     	21.48   
8       	4.202   
8.4     	-12.27  
8.8     	-28.51  
9.2     	-44.17  
9.6     	-55.99  
10      	-62.75  
10.4    	-66.15  
10.8    	-67.7   
11.2    	-68     
11.6    	-67.54  
12      	-66.92  
12.4    	-66.09  
12.8    	-64.84  
13.2    	-63.38  
13.6    	-61.98  
14      	-60.43  
14.4    	-58.35  
14.8    	-53.54  
15.2    	-43.12  
15.6    	27.25   
16      	38.07   
16.4    	24.28   
16.8    	7.5     
17.2    	-8.569  
17.6    	-23.88  
18      	-38.88  
18.4    	-50.86  
18.8    	-58.47  
19.2    	-62.34  
19.6    	-63.91  
20      	-64.31  
20.4    	-64.07  
20.8    	-63.3   
21.2    	-62.32  
21.6    	-61.23  
22      	-59.97  
22.4    	-58.49  
22.8    	-56.56  
23.2    	-52.27  
23.6    	-36.35  
24      	35.09   
24.4    	33.3    
24.8    	18.32   
25.2    	1.953   
25.6    	-13.12  
26      	-27.69  
26.4    	-41.01  
26.8    	-51.02  
27.2    	-57.18  
27.6    	-60.36  
28      	-61.66  
28.4    	-61.84  
28.8    	-61.52  
29.2    	-60.8   
29.6    	-59.64  
30      	-58.29  
30.4    	-56.6   
30.8    	-53.88  
31.2    	-48.63  
31.6    	-34.34  
32      	32.49   
32.4    	31.28   
32.8    	16.6    
33.2    	0.7791  
33.6    	-13.49  
34      	-27.13  
34.4    	-39.6   
34.8    	-48.89  
35.2    	-54.86  
35.6    	-57.97  
36      	-59.27  
36.4    	-59.54  
36.8    	-59.13  
37.2    	-58.43  
37.6    	-57.46  
38      	-56.12  
38.4    	-54.42  
38.8    	-52.26  
39.2    	-48.97  
39.6    	-41.35  
40      	16.32   
40.4    	32.83   
40.8    	19.89   
41.2    	4.29    
41.6    	-9.768  
42      	-22.7   
42.4    	-35.08  
42.8    	-44.76  
43.2    	-51.48  
43.6    	-55.39  
44      	-57.37  
44.4    	-57.93  
44.8    	-57.85  
45.2    	-57.35  
45.6    	-56.56  
46      	-55.34  
46.4    	-53.72  
46.8    	-51.63  
47.2    	-48.23  
47.6    	-38.86  
48      	20.55   
48.4    	30.24   
48.8    	17.89   
49.2    	3.134   
49.6    	-10.06  
50      	-22.24  
50.4    	-33.94  
50.8    	-43.11  
51.2    	-49.71  
51.6    	-53.78  
52      	-55.79  
52.4    	-56.7   
52.8    	-56.9   
53.2    	-56.44  
53.6    	-55.56  
54      	-54.28  
54.4    	-52.7   
54.8    	-50.57  
55.2    	-47.3   
55.6    	-39.44  
56      	13.79   
56.4    	29.34   
56.8    	18.3    
57.2    	4.054   
57.6    	-8.721  
58      	-20.28  
58.4    	-31.51  
58.8    	-40.55  
59.2    	-46.91  
59.6    	-51.23  
60      	-53.75  
60.4    	-54.86  
60.8    	-55.13  
61.2    	-54.75  
61.6    	-53.93  
62      	-52.71  
62.4    	-51.11  
62.8    	-48.92  
63.2    	-45.21  
63.6    	-33.91  
64      	16.84   
64.4    	24.73   
64.8    	14.26   
65.2    	1.336   
65.6    	-10.18  
66      	-20.86  
66.4    	-31.41  
66.8    	-39.87  
67.2    	-45.98  
67.6    	-50.17  
68      	-52.63  
68.4    	-53.81  
68.8    	-54.15  
69.2    	-53.93  
69.6    	-53.33  
70      	-52.41  
70.4    	-51.03  
70.8    	-49.14  
71.2    	-46.03  
71.6    	-38.62  
72      	2.035   
72.4    	24.49   
72.8    	17.59   
73.2    	5.331   
73.6    	-6.164  
74      	-16.38  
74.4    	-26.62  
74.8    	-35.87  
75.2    	-42.58  
75.6    	-47.4   
76      	-50.46  
76.4    	-52.09  
76.8    	-52.78  
77.2    	-52.58  
