
SWEPT_VAR_1 = 85.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.29  
2.8     	-69.65  
3.2     	-69.85  
3.6     	-69.82  
4       	-69.69  
4.4     	-69.41  
4.8     	-68.98  
5.2     	-68.4   
5.6     	-67.72  
6       	-66.97  
6.4     	-66.15  
6.8     	-65.15  
7.2     	-64.06  
7.6     	-61.9   
8       	-56.82  
8.4     	-52.48  
8.8     	-48.12  
9.2     	-25.82  
9.6     	44.03   
10      	34.28   
10.4    	17.71   
10.8    	0.2021  
11.2    	-16.38  
11.6    	-33.28  
12      	-49.01  
12.4    	-60     
12.8    	-65.99  
13.2    	-69.06  
13.6    	-70.48  
14      	-71.04  
14.4    	-71.11  
14.8    	-70.8   
15.2    	-70.19  
15.6    	-69.44  
16      	-68.6   
16.4    	-67.64  
16.8    	-66.65  
17.2    	-65.68  
17.6    	-64.72  
18      	-63.73  
18.4    	-62.61  
18.8    	-61.27  
19.2    	-58.63  
19.6    	-52.91  
20      	-43.35  
20.4    	30.78   
20.8    	39.96   
21.2    	25.76   
21.6    	8.577   
22      	-8.251  
22.4    	-24.54  
22.8    	-40.9   
23.2    	-54.26  
23.6    	-62.52  
24      	-66.89  
24.4    	-68.92  
24.8    	-69.64  
25.2    	-69.64  
25.6    	-69.2   
26      	-68.47  
26.4    	-67.71  
26.8    	-66.85  
27.2    	-65.84  
27.6    	-64.73  
28      	-63.66  
28.4    	-62.55  
28.8    	-61.05  
29.2    	-57.54  
29.6    	-49.42  
30      	-14.12  
30.4    	41.52   
30.8    	31.16   
31.2    	14.69   
31.6    	-2.249  
32      	-18.24  
32.4    	-34.37  
32.8    	-48.64  
33.2    	-58.63  
33.6    	-64.26  
34      	-67.16  
34.4    	-68.51  
34.8    	-68.9   
35.2    	-68.7   
35.6    	-68.19  
36      	-67.41  
36.4    	-66.57  
36.8    	-65.74  
37.2    	-64.73  
37.6    	-63.61  
38      	-62.38  
38.4    	-60.95  
38.8    	-57.92  
39.2    	-51.85  
39.6    	-33.78  
40      	39.58   
40.4    	35.4    
40.8    	19.93   
41.2    	2.899   
41.6    	-13.24  
42      	-29.25  
42.4    	-44.48  
42.8    	-56.09  
43.2    	-62.99  
43.6    	-66.59  
44      	-68.26  
44.4    	-68.89  
44.8    	-68.91  
45.2    	-68.48  
45.6    	-67.86  
46      	-67.14  
46.4    	-66.22  
46.8    	-65.29  
47.2    	-64.27  
47.6    	-63.13  
48      	-61.86  
48.4    	-60.04  
48.8    	-54.82  
49.2    	-43.36  
49.6    	26.53   
50      	39.51   
50.4    	25.69   
50.8    	8.622   
51.2    	-8.075  
51.6    	-24.18  
52      	-40.21  
52.4    	-53.25  
52.8    	-61.47  
53.2    	-65.81  
53.6    	-67.88  
54      	-68.58  
54.4    	-68.49  
54.8    	-68.04  
55.2    	-67.37  
55.6    	-66.56  
56      	-65.61  
56.4    	-64.62  
56.8    	-63.55  
57.2    	-62.22  
57.6    	-60.21  
58      	-55.92  
58.4    	-50.86  
58.8    	-41.3   
59.2    	30.92   
59.6    	38.4    
60      	24.05   
60.4    	6.962   
60.8    	-9.493  
61.2    	-25.36  
61.6    	-41.04  
62      	-53.6   
62.4    	-61.34  
62.8    	-65.39  
63.2    	-67.18  
63.6    	-67.78  
64      	-67.66  
64.4    	-67.25  
64.8    	-66.47  
65.2    	-65.57  
65.6    	-64.58  
66      	-63.6   
66.4    	-62.68  
66.8    	-61.81  
67.2    	-60.93  
67.6    	-59.64  
68      	-56.47  
68.4    	-51.68  
68.8    	-46.53  
69.2    	-14.98  
69.6    	41.5    
70      	30.61   
70.4    	13.91   
70.8    	-3.068  
71.2    	-18.96  
71.6    	-34.95  
72      	-48.89  
72.4    	-58.51  
72.8    	-63.88  
73.2    	-66.47  
73.6    	-67.53  
74      	-67.77  
74.4    	-67.6   
74.8    	-67.04  
75.2    	-66.34  
75.6    	-65.49  
76      	-64.47  
76.4    	-63.43  
