
SWEPT_VAR_1 = 25.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.32  
4       	-71.89  
4.4     	-72.43  
4.8     	-72.94  
5.2     	-73.41  
5.6     	-73.86  
6       	-74.27  
6.4     	-74.65  
6.8     	-74.99  
7.2     	-75.3   
7.6     	-75.57  
8       	-75.78  
8.4     	-75.8   
8.8     	-75.25  
9.2     	-72.38  
9.6     	-58.69  
10      	10.87   
10.4    	42.86   
10.8    	30.32   
11.2    	13.06   
11.6    	-4.825  
12      	-22.79  
12.4    	-41.75  
12.8    	-57.77  
13.2    	-67.67  
13.6    	-73.17  
14      	-76.22  
14.4    	-77.95  
14.8    	-78.98  
15.2    	-79.6   
15.6    	-80     
16      	-80.25  
16.4    	-80.41  
16.8    	-80.52  
17.2    	-80.58  
17.6    	-80.6   
18      	-80.61  
18.4    	-80.59  
18.8    	-80.54  
19.2    	-80.35  
19.6    	-79.81  
20      	-78.34  
20.4    	-72.71  
20.8    	-51.13  
21.2    	34.89   
21.6    	40.38   
22      	26.17   
22.4    	8.568   
22.8    	-9.172  
23.2    	-27.42  
23.6    	-46.03  
24      	-60.54  
24.4    	-69.15  
24.8    	-73.93  
25.2    	-76.6   
25.6    	-78.13  
26      	-79.04  
26.4    	-79.6   
26.8    	-79.96  
27.2    	-80.19  
27.6    	-80.32  
28      	-80.4   
28.4    	-80.43  
28.8    	-80.43  
29.2    	-80.38  
29.6    	-80.17  
30      	-79.62  
30.4    	-78.1   
30.8    	-72.23  
31.2    	-49.85  
31.6    	36.15   
32      	39.92   
32.4    	25.53   
32.8    	7.901   
33.2    	-9.814  
33.6    	-28.1   
34      	-46.63  
34.4    	-60.92  
34.8    	-69.35  
35.2    	-74.03  
35.6    	-76.65  
36      	-78.15  
36.4    	-79.04  
36.8    	-79.59  
37.2    	-79.93  
37.6    	-80.13  
38      	-80.24  
38.4    	-80.29  
38.8    	-80.28  
39.2    	-80.21  
39.6    	-80.08  
40      	-79.85  
40.4    	-79.43  
40.8    	-78.65  
41.2    	-76.2   
41.6    	-66.33  
42      	-27.89  
42.4    	43.24   
42.8    	34.78   
43.2    	18.48   
43.6    	0.5978  
44      	-17.1   
44.4    	-35.89  
44.8    	-53.25  
45.2    	-64.96  
45.6    	-71.61  
46      	-75.29  
46.4    	-77.37  
46.8    	-78.58  
47.2    	-79.3   
47.6    	-79.76  
48      	-80.05  
48.4    	-80.23  
48.8    	-80.34  
49.2    	-80.4   
49.6    	-80.42  
50      	-80.41  
50.4    	-80.37  
50.8    	-80.3   
51.2    	-80.23  
51.6    	-80.14  
52      	-80.03  
52.4    	-79.86  
52.8    	-79.46  
53.2    	-78.45  
53.6    	-74.7   
54      	-59.6   
54.4    	8.471   
54.8    	42.72   
55.2    	30.48   
55.6    	13.32   
56      	-4.527  
56.4    	-22.44  
56.8    	-41.31  
57.2    	-57.35  
57.6    	-67.35  
58      	-72.93  
58.4    	-76.03  
58.8    	-77.78  
59.2    	-78.82  
59.6    	-79.44  
60      	-79.83  
60.4    	-80.08  
60.8    	-80.23  
61.2    	-80.32  
61.6    	-80.36  
62      	-80.36  
62.4    	-80.32  
62.8    	-80.19  
63.2    	-79.82  
63.6    	-78.97  
64      	-76.1   
64.4    	-64.8   
64.8    	-20.75  
65.2    	43.28   
65.6    	33.6    
66      	17.03   
66.4    	-0.8463 
66.8    	-18.58  
67.2    	-37.41  
67.6    	-54.44  
68      	-65.65  
68.4    	-71.98  
68.8    	-75.49  
69.2    	-77.48  
69.6    	-78.64  
70      	-79.34  
70.4    	-79.78  
70.8    	-80.06  
71.2    	-80.24  
71.6    	-80.34  
72      	-80.39  
72.4    	-80.4   
72.8    	-80.38  
73.2    	-80.35  
73.6    	-80.29  
74      	-80.22  
74.4    	-80.14  
74.8    	-80.02  
75.2    	-79.77  
75.6    	-79.16  
76      	-77.34  
76.4    	-70.05  
