
SWEPT_VAR_1 = 65.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.48  
4.8     	-73.02  
5.2     	-73.52  
5.6     	-74     
6       	-74.44  
6.4     	-74.87  
6.8     	-75.26  
7.2     	-75.64  
7.6     	-76     
8       	-76.33  
8.4     	-76.64  
8.8     	-76.91  
9.2     	-77.15  
9.6     	-77.37  
10      	-77.58  
10.4    	-77.78  
10.8    	-77.96  
11.2    	-78.14  
11.6    	-78.31  
12      	-78.46  
12.4    	-78.61  
12.8    	-78.76  
13.2    	-78.9   
13.6    	-79.03  
14      	-79.16  
14.4    	-79.29  
14.8    	-79.41  
15.2    	-79.53  
15.6    	-79.65  
16      	-79.77  
16.4    	-79.89  
16.8    	-80     
17.2    	-80.11  
17.6    	-80.21  
18      	-80.31  
18.4    	-80.39  
18.8    	-80.47  
19.2    	-80.53  
19.6    	-80.58  
20      	-80.62  
20.4    	-80.66  
20.8    	-80.7   
21.2    	-80.73  
21.6    	-80.76  
22      	-80.79  
22.4    	-80.82  
22.8    	-80.84  
23.2    	-80.86  
23.6    	-80.87  
24      	-80.88  
24.4    	-80.89  
24.8    	-80.89  
25.2    	-80.89  
25.6    	-80.88  
26      	-80.86  
26.4    	-80.84  
26.8    	-80.82  
27.2    	-80.8   
27.6    	-80.77  
28      	-80.75  
28.4    	-80.72  
28.8    	-80.7   
29.2    	-80.69  
29.6    	-80.68  
30      	-80.67  
30.4    	-80.66  
30.8    	-80.64  
31.2    	-80.64  
31.6    	-80.63  
32      	-80.63  
32.4    	-80.63  
32.8    	-80.62  
33.2    	-80.61  
33.6    	-80.6   
34      	-80.58  
34.4    	-80.57  
34.8    	-80.55  
35.2    	-80.53  
35.6    	-80.51  
36      	-80.49  
36.4    	-80.46  
36.8    	-80.42  
37.2    	-80.39  
37.6    	-80.36  
38      	-80.33  
38.4    	-80.3   
38.8    	-80.28  
39.2    	-80.26  
39.6    	-80.24  
40      	-80.22  
40.4    	-80.19  
40.8    	-80.16  
41.2    	-80.12  
41.6    	-80.07  
42      	-80.02  
42.4    	-79.97  
42.8    	-79.92  
43.2    	-79.88  
43.6    	-79.85  
44      	-79.81  
44.4    	-79.78  
44.8    	-79.74  
45.2    	-79.71  
45.6    	-79.69  
46      	-79.67  
46.4    	-79.66  
46.8    	-79.66  
47.2    	-79.66  
47.6    	-79.67  
48      	-79.68  
48.4    	-79.7   
48.8    	-79.73  
49.2    	-79.75  
49.6    	-79.77  
50      	-79.78  
50.4    	-79.79  
50.8    	-79.8   
51.2    	-79.82  
51.6    	-79.83  
52      	-79.85  
52.4    	-79.87  
52.8    	-79.89  
53.2    	-79.91  
53.6    	-79.93  
54      	-79.94  
54.4    	-79.95  
54.8    	-79.95  
55.2    	-79.94  
55.6    	-79.93  
56      	-79.91  
56.4    	-79.88  
56.8    	-79.86  
57.2    	-79.82  
57.6    	-79.69  
58      	-79.23  
58.4    	-77.8   
58.8    	-72.07  
59.2    	-49.38  
59.6    	37.37   
60      	40.11   
60.4    	25.53   
60.8    	7.853   
61.2    	-9.878  
61.6    	-28.19  
62      	-46.77  
62.4    	-61.06  
62.8    	-69.49  
63.2    	-74.17  
63.6    	-76.8   
64      	-78.32  
64.4    	-79.25  
64.8    	-79.84  
65.2    	-80.23  
65.6    	-80.49  
66      	-80.68  
66.4    	-80.81  
66.8    	-80.89  
67.2    	-80.95  
67.6    	-80.98  
68      	-80.99  
68.4    	-81     
68.8    	-81     
69.2    	-81     
69.6    	-80.99  
70      	-80.99  
70.4    	-80.98  
70.8    	-80.97  
71.2    	-80.95  
71.6    	-80.94  
72      	-80.93  
72.4    	-80.91  
72.8    	-80.89  
73.2    	-80.87  
73.6    	-80.83  
74      	-80.79  
74.4    	-80.73  
74.8    	-80.59  
75.2    	-80.15  
75.6    	-78.94  
76      	-74.44  
