
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.69  
3.6     	-71.27  
4       	-71.79  
4.4     	-72.24  
4.8     	-72.61  
5.2     	-72.71  
5.6     	-71.92  
6       	-66.58  
6.4     	-39.77  
6.8     	42.64   
7.2     	37.57   
7.6     	21.78   
8       	3.867   
8.4     	-13.82  
8.8     	-32.44  
9.2     	-50.56  
9.6     	-63.41  
10      	-70.71  
10.4    	-74.68  
10.8    	-76.87  
11.2    	-78.08  
11.6    	-78.76  
12      	-79.13  
12.4    	-79.31  
12.8    	-79.36  
13.2    	-79.34  
13.6    	-79.24  
14      	-79.09  
14.4    	-78.89  
14.8    	-78.67  
15.2    	-78.43  
15.6    	-78.16  
16      	-77.86  
16.4    	-77.53  
16.8    	-77.17  
17.2    	-76.78  
17.6    	-76.36  
18      	-75.89  
18.4    	-75.18  
18.8    	-72.61  
19.2    	-60.11  
19.6    	1.73    
20      	43.05   
20.4    	31.12   
20.8    	14.02   
21.2    	-3.827  
21.6    	-21.62  
22      	-40.42  
22.4    	-56.61  
22.8    	-66.78  
23.2    	-72.41  
23.6    	-75.49  
24      	-77.18  
24.4    	-78.12  
24.8    	-78.63  
25.2    	-78.88  
25.6    	-78.96  
26      	-78.91  
26.4    	-78.79  
26.8    	-78.6   
27.2    	-78.37  
27.6    	-78.12  
28      	-77.84  
28.4    	-77.55  
28.8    	-77.24  
29.2    	-76.9   
29.6    	-76.54  
30      	-76.17  
30.4    	-75.76  
30.8    	-75.28  
31.2    	-74.46  
31.6    	-71.22  
32      	-55.37  
32.4    	25.15   
32.8    	41.77   
33.2    	28.35   
33.6    	10.92   
34      	-6.822  
34.4    	-24.76  
34.8    	-43.42  
35.2    	-58.68  
35.6    	-67.91  
36      	-72.98  
36.4    	-75.74  
36.8    	-77.25  
37.2    	-78.08  
37.6    	-78.51  
38      	-78.71  
38.4    	-78.74  
38.8    	-78.65  
39.2    	-78.5   
39.6    	-78.29  
40      	-78.04  
40.4    	-77.76  
40.8    	-77.44  
41.2    	-77.09  
41.6    	-76.72  
42      	-76.32  
42.4    	-75.9   
42.8    	-75.42  
43.2    	-74.67  
43.6    	-72.18  
44      	-60.04  
44.4    	0.9124  
44.8    	42.98   
45.2    	31.1    
45.6    	14.03   
46      	-3.801  
46.4    	-21.56  
46.8    	-40.3   
47.2    	-56.48  
47.6    	-66.66  
48      	-72.29  
48.4    	-75.35  
48.8    	-77.02  
49.2    	-77.94  
49.6    	-78.43  
50      	-78.66  
50.4    	-78.73  
50.8    	-78.69  
51.2    	-78.56  
51.6    	-78.36  
52      	-78.1   
52.4    	-77.81  
52.8    	-77.49  
53.2    	-77.15  
53.6    	-76.8   
54      	-76.43  
54.4    	-76.03  
54.8    	-75.57  
55.2    	-74.79  
55.6    	-72.18  
56      	-59.52  
56.4    	4.358   
56.8    	42.85   
57.2    	30.76   
57.6    	13.64   
58      	-4.186  
58.4    	-21.97  
58.8    	-40.73  
59.2    	-56.79  
59.6    	-66.84  
60      	-72.39  
60.4    	-75.41  
60.8    	-77.06  
61.2    	-77.95  
61.6    	-78.41  
62      	-78.61  
62.4    	-78.65  
62.8    	-78.59  
63.2    	-78.44  
63.6    	-78.24  
64      	-77.99  
64.4    	-77.7   
64.8    	-77.39  
65.2    	-77.07  
65.6    	-76.73  
66      	-76.36  
66.4    	-75.97  
66.8    	-75.51  
67.2    	-74.82  
67.6    	-72.88  
68      	-63.6   
68.4    	-20.43  
68.8    	43.56   
69.2    	33.64   
69.6    	17      
70      	-0.8777 
70.4    	-18.52  
70.8    	-37.24  
71.2    	-54.2   
71.6    	-65.36  
72      	-71.6   
72.4    	-75.01  
72.8    	-76.87  
73.2    	-77.9   
73.6    	-78.45  
74      	-78.73  
74.4    	-78.83  
74.8    	-78.82  
75.2    	-78.73  
75.6    	-78.59  
76      	-78.4   
76.4    	-78.18  
