
SWEPT_VAR_1 = 35.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.69  
3.6     	-71.29  
4       	-71.85  
4.4     	-72.38  
4.8     	-72.88  
5.2     	-73.34  
5.6     	-73.76  
6       	-74.14  
6.4     	-74.49  
6.8     	-74.81  
7.2     	-75.1   
7.6     	-75.36  
8       	-75.61  
8.4     	-75.81  
8.8     	-75.91  
9.2     	-75.64  
9.6     	-74.03  
10      	-66.1   
10.4    	-31.08  
10.8    	43.62   
11.2    	35.63   
11.6    	19.35   
12      	1.423   
12.4    	-16.3   
12.8    	-35.11  
13.2    	-52.76  
13.6    	-64.78  
14      	-71.58  
14.4    	-75.35  
14.8    	-77.48  
15.2    	-78.73  
15.6    	-79.5   
16      	-80     
16.4    	-80.33  
16.8    	-80.55  
17.2    	-80.71  
17.6    	-80.82  
18      	-80.89  
18.4    	-80.93  
18.8    	-80.96  
19.2    	-80.97  
19.6    	-80.98  
20      	-80.96  
20.4    	-80.91  
20.8    	-80.85  
21.2    	-80.77  
21.6    	-80.68  
22      	-80.6   
22.4    	-80.51  
22.8    	-80.37  
23.2    	-80.02  
23.6    	-79.06  
24      	-75.69  
24.4    	-62.29  
24.8    	-6.065  
25.2    	43.29   
25.6    	32.01   
26      	15.07   
26.4    	-2.799  
26.8    	-20.62  
27.2    	-39.5   
27.6    	-56.04  
28      	-66.61  
28.4    	-72.56  
28.8    	-75.87  
29.2    	-77.75  
29.6    	-78.87  
30      	-79.56  
30.4    	-80.01  
30.8    	-80.3   
31.2    	-80.5   
31.6    	-80.64  
32      	-80.72  
32.4    	-80.77  
32.8    	-80.78  
33.2    	-80.77  
33.6    	-80.73  
34      	-80.67  
34.4    	-80.52  
34.8    	-80.13  
35.2    	-79.13  
35.6    	-75.6   
36      	-61.8   
36.4    	-3.97   
36.8    	43.06   
37.2    	31.66   
37.6    	14.7    
38      	-3.161  
38.4    	-20.99  
38.8    	-39.86  
39.2    	-56.27  
39.6    	-66.72  
40      	-72.59  
40.4    	-75.85  
40.8    	-77.71  
41.2    	-78.81  
41.6    	-79.48  
42      	-79.89  
42.4    	-80.15  
42.8    	-80.3   
43.2    	-80.38  
43.6    	-80.41  
44      	-80.4   
44.4    	-80.36  
44.8    	-80.28  
45.2    	-80.04  
45.6    	-79.41  
46      	-77.53  
46.4    	-70.12  
46.8    	-42.12  
47.2    	41.26   
47.6    	37.87   
48      	22.51   
48.4    	4.718   
48.8    	-12.96  
49.2    	-31.51  
49.6    	-49.66  
50      	-62.82  
50.4    	-70.44  
50.8    	-74.66  
51.2    	-77.04  
51.6    	-78.42  
52      	-79.26  
52.4    	-79.79  
52.8    	-80.13  
53.2    	-80.36  
53.6    	-80.5   
54      	-80.58  
54.4    	-80.55  
54.8    	-80.28  
55.2    	-79.59  
55.6    	-77.54  
56      	-69.69  
56.4    	-40.73  
56.8    	41.36   
57.2    	37.34   
57.6    	21.89   
58      	4.094   
58.4    	-13.58  
58.8    	-32.15  
59.2    	-50.18  
59.6    	-63.13  
60      	-70.6   
60.4    	-74.75  
60.8    	-77.08  
61.2    	-78.44  
61.6    	-79.25  
62      	-79.77  
62.4    	-80.1   
62.8    	-80.32  
63.2    	-80.46  
63.6    	-80.54  
64      	-80.58  
64.4    	-80.6   
64.8    	-80.59  
65.2    	-80.57  
65.6    	-80.54  
66      	-80.51  
66.4    	-80.47  
66.8    	-80.41  
67.2    	-80.35  
67.6    	-80.29  
68      	-80.18  
68.4    	-79.88  
68.8    	-79.07  
69.2    	-76.33  
69.6    	-65.4   
70      	-22.29  
70.4    	43.63   
70.8    	34.1    
71.2    	17.56   
71.6    	-0.3434 
72      	-18.08  
72.4    	-36.93  
72.8    	-54.1   
73.2    	-65.49  
73.6    	-71.92  
74      	-75.49  
74.4    	-77.51  
74.8    	-78.7   
75.2    	-79.42  
75.6    	-79.87  
76      	-80.15  
76.4    	-80.34  
