
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
118.4   	-81.41  
118.8   	-81.41  
119.2   	-81.42  
119.6   	-81.43  
120     	-81.45  
120.4   	-81.47  
120.8   	-81.49  
121.2   	-81.52  
121.6   	-81.55  
122     	-81.57  
122.4   	-81.59  
122.8   	-81.61  
123.2   	-81.63  
123.6   	-81.64  
124     	-81.66  
124.4   	-81.68  
124.8   	-81.7   
125.2   	-81.72  
125.6   	-81.75  
126     	-81.77  
126.4   	-81.8   
126.8   	-81.83  
127.2   	-81.85  
127.6   	-81.88  
128     	-81.9   
128.4   	-81.92  
128.8   	-81.94  
129.2   	-81.96  
129.6   	-81.98  
130     	-82     
130.4   	-82.01  
130.8   	-82.02  
131.2   	-82.02  
131.6   	-82.01  
132     	-82     
132.4   	-81.97  
132.8   	-81.95  
133.2   	-81.93  
133.6   	-81.91  
134     	-81.88  
134.4   	-81.86  
134.8   	-81.83  
135.2   	-81.81  
135.6   	-81.8   
136     	-81.78  
136.4   	-81.77  
136.8   	-81.76  
137.2   	-81.74  
137.6   	-81.72  
138     	-81.69  
138.4   	-81.65  
138.8   	-81.62  
139.2   	-81.59  
139.6   	-81.56  
140     	-81.54  
140.4   	-81.51  
140.8   	-81.49  
141.2   	-81.46  
141.6   	-81.43  
142     	-81.4   
142.4   	-81.38  
142.8   	-81.36  
143.2   	-81.33  
143.6   	-81.31  
144     	-81.29  
144.4   	-81.28  
144.8   	-81.26  
145.2   	-81.24  
145.6   	-81.2   
146     	-81.16  
146.4   	-81.11  
146.8   	-81.07  
147.2   	-81.02  
147.6   	-80.98  
148     	-80.94  
148.4   	-80.9   
148.8   	-80.84  
149.2   	-80.66  
149.6   	-80.11  
150     	-78.57  
150.4   	-72.68  
150.8   	-50.07  
151.2   	36.68   
151.6   	40.3    
152     	25.84   
152.4   	8.189   
152.8   	-9.546  
153.2   	-27.83  
153.6   	-46.43  
154     	-60.83  
154.4   	-69.35  
154.8   	-74.09  
155.2   	-76.75  
155.6   	-78.29  
156     	-79.23  
156.4   	-79.83  
156.8   	-80.23  
157.2   	-80.5   
157.6   	-80.68  
158     	-80.82  
158.4   	-80.92  
158.8   	-80.99  
159.2   	-81.04  
159.6   	-81.07  
160     	-81.08  
160.4   	-81.08  
160.8   	-81.07  
161.2   	-81.06  
161.6   	-81.05  
162     	-81.03  
162.4   	-81     
162.8   	-80.97  
163.2   	-80.93  
163.6   	-80.89  
164     	-80.84  
164.4   	-80.79  
164.8   	-80.73  
165.2   	-80.66  
165.6   	-80.58  
166     	-80.51  
166.4   	-80.44  
166.8   	-80.38  
167.2   	-80.33  
167.6   	-80.28  
168     	-80.24  
168.4   	-80.21  
168.8   	-80.19  
169.2   	-80.17  
169.6   	-80.15  
170     	-80.14  
170.4   	-80.13  
170.8   	-80.12  
171.2   	-80.11  
171.6   	-80.1   
172     	-80.08  
172.4   	-80.06  
172.8   	-80.05  
173.2   	-80.04  
173.6   	-80.03  
174     	-80.02  
174.4   	-80.02  
174.8   	-80.01  
175.2   	-79.99  
175.6   	-79.98  
176     	-79.97  
176.4   	-79.95  
176.8   	-79.94  
177.2   	-79.93  
177.6   	-79.93  
178     	-79.93  
178.4   	-79.94  
178.8   	-79.95  
179.2   	-79.97  
179.6   	-79.99  
180     	-80.01  
180.4   	-80.03  
180.8   	-80.04  
181.2   	-80.06  
181.6   	-80.07  
182     	-80.08  
182.4   	-80.09  
182.8   	-80.1   
183.2   	-80.11  
183.6   	-80.13  
184     	-80.16  
184.4   	-80.18  
184.8   	-80.19  
185.2   	-80.21  
185.6   	-80.23  
186     	-80.26  
186.4   	-80.28  
186.8   	-80.31  
187.2   	-80.35  
187.6   	-80.38  
188     	-80.4   
188.4   	-80.43  
188.8   	-80.45  
189.2   	-80.46  
189.6   	-80.49  
190     	-80.51  
190.4   	-80.52  
190.8   	-80.53  
191.2   	-80.53  
191.6   	-80.53  
192     	-80.53  
192.4   	-80.53  
192.8   	-80.53  
193.2   	-80.53  
193.6   	-80.53  
194     	-80.53  
194.4   	-80.52  
194.8   	-80.5   
195.2   	-80.48  
195.6   	-80.46  
196     	-80.44  
196.4   	-80.42  
196.8   	-80.4   
197.2   	-80.38  
197.6   	-80.37  
198     	-80.36  
198.4   	-80.34  
198.8   	-80.33  
199.2   	-80.33  
199.6   	-80.32  
200     	-80.31  
200.4   	-80.29  
200.8   	-80.27  
201.2   	-80.25  
201.6   	-80.22  
202     	-80.16  
