
SWEPT_VAR_1 = 55.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.49  
4.8     	-73.04  
5.2     	-73.55  
5.6     	-74.04  
6       	-74.5   
6.4     	-74.93  
6.8     	-75.34  
7.2     	-75.72  
7.6     	-76.09  
8       	-76.43  
8.4     	-76.75  
8.8     	-77.04  
9.2     	-77.31  
9.6     	-77.57  
10      	-77.82  
10.4    	-78.04  
10.8    	-78.26  
11.2    	-78.44  
11.6    	-78.6   
12      	-78.75  
12.4    	-78.87  
12.8    	-78.99  
13.2    	-79.1   
13.6    	-79.21  
14      	-79.3   
14.4    	-79.39  
14.8    	-79.46  
15.2    	-79.54  
15.6    	-79.6   
16      	-79.67  
16.4    	-79.74  
16.8    	-79.8   
17.2    	-79.87  
17.6    	-79.94  
18      	-80     
18.4    	-80.07  
18.8    	-80.12  
19.2    	-80.16  
19.6    	-80.2   
20      	-80.22  
20.4    	-80.24  
20.8    	-80.26  
21.2    	-80.27  
21.6    	-80.29  
22      	-80.3   
22.4    	-80.31  
22.8    	-80.32  
23.2    	-80.32  
23.6    	-80.32  
24      	-80.32  
24.4    	-80.31  
24.8    	-80.28  
25.2    	-80.25  
25.6    	-80.21  
26      	-80.17  
26.4    	-80.1   
26.8    	-79.84  
27.2    	-79.06  
27.6    	-76.39  
28      	-65.7   
28.4    	-23.49  
28.8    	43.73   
29.2    	34.36   
29.6    	17.85   
30      	-0.06242
30.4    	-17.8   
30.8    	-36.66  
31.2    	-53.92  
31.6    	-65.41  
32      	-71.91  
32.4    	-75.53  
32.8    	-77.59  
33.2    	-78.81  
33.6    	-79.57  
34      	-80.06  
34.4    	-80.4   
34.8    	-80.64  
35.2    	-80.81  
35.6    	-80.94  
36      	-81.04  
36.4    	-81.11  
36.8    	-81.17  
37.2    	-81.21  
37.6    	-81.25  
38      	-81.27  
38.4    	-81.29  
38.8    	-81.3   
39.2    	-81.3   
39.6    	-81.3   
40      	-81.3   
40.4    	-81.29  
40.8    	-81.27  
41.2    	-81.24  
41.6    	-81.22  
42      	-81.19  
42.4    	-81.17  
42.8    	-81.15  
43.2    	-81.12  
43.6    	-81.1   
44      	-81.08  
44.4    	-81.06  
44.8    	-81.05  
45.2    	-81.03  
45.6    	-81.02  
46      	-81.01  
46.4    	-81     
46.8    	-80.99  
47.2    	-80.91  
47.6    	-80.59  
48      	-79.72  
48.4    	-76.83  
48.8    	-65.66  
49.2    	-22.39  
49.6    	43.7    
50      	34.19   
50.4    	17.66   
50.8    	-0.2492 
51.2    	-17.99  
51.6    	-36.84  
52      	-54.05  
52.4    	-65.48  
52.8    	-71.95  
53.2    	-75.55  
53.6    	-77.6   
54      	-78.83  
54.4    	-79.59  
54.8    	-80.08  
55.2    	-80.42  
55.6    	-80.67  
56      	-80.84  
56.4    	-80.98  
56.8    	-81.08  
57.2    	-81.17  
57.6    	-81.24  
58      	-81.3   
58.4    	-81.34  
58.8    	-81.38  
59.2    	-81.41  
59.6    	-81.43  
60      	-81.43  
60.4    	-81.43  
60.8    	-81.41  
61.2    	-81.39  
61.6    	-81.36  
62      	-81.31  
62.4    	-81.12  
62.8    	-80.55  
63.2    	-79.01  
63.6    	-73.3   
64      	-51.68  
64.4    	34.68   
64.8    	40.71   
65.2    	26.53   
65.6    	8.938   
66      	-8.816  
66.4    	-27.05  
66.8    	-45.71  
67.2    	-60.37  
67.6    	-69.09  
68      	-73.95  
68.4    	-76.69  
68.8    	-78.27  
69.2    	-79.23  
69.6    	-79.84  
70      	-80.25  
70.4    	-80.53  
70.8    	-80.73  
71.2    	-80.88  
71.6    	-80.99  
72      	-81.08  
72.4    	-81.14  
72.8    	-81.18  
73.2    	-81.22  
73.6    	-81.24  
74      	-81.26  
74.4    	-81.26  
74.8    	-81.26  
75.2    	-81.25  
75.6    	-81.24  
76      	-81.21  
