
SWEPT_VAR_1 = 15.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.69  
3.6     	-71.29  
4       	-71.84  
4.4     	-72.35  
4.8     	-72.82  
5.2     	-73.24  
5.6     	-73.62  
6       	-73.95  
6.4     	-74.24  
6.8     	-74.5   
7.2     	-74.71  
7.6     	-74.88  
8       	-75.02  
8.4     	-75.05  
8.8     	-74.64  
9.2     	-72.29  
9.6     	-60.46  
10      	-1.058  
10.4    	43.32   
10.8    	31.48   
11.2    	14.38   
11.6    	-3.518  
12      	-21.39  
12.4    	-40.34  
12.8    	-56.74  
13.2    	-67.04  
13.6    	-72.77  
14      	-75.93  
14.4    	-77.72  
14.8    	-78.75  
15.2    	-79.37  
15.6    	-79.75  
16      	-79.97  
16.4    	-80.08  
16.8    	-80.06  
17.2    	-79.84  
17.6    	-79.35  
18      	-78.22  
18.4    	-74.09  
18.8    	-58.08  
19.2    	12.91   
19.6    	41.85   
20      	29.4    
20.4    	12.22   
20.8    	-5.559  
21.2    	-23.49  
21.6    	-42.23  
22      	-57.89  
22.4    	-67.57  
22.8    	-72.99  
23.2    	-75.99  
23.6    	-77.7   
24      	-78.7   
24.4    	-79.29  
24.8    	-79.64  
25.2    	-79.85  
25.6    	-79.95  
26      	-79.97  
26.4    	-79.94  
26.8    	-79.86  
27.2    	-79.73  
27.6    	-79.5   
28      	-79.1   
28.4    	-78.42  
28.8    	-76.49  
29.2    	-68.58  
29.6    	-37.64  
30      	42.37   
30.4    	36.77   
30.8    	21.02   
31.2    	3.184   
31.6    	-14.47  
32      	-33.06  
32.4    	-50.92  
32.8    	-63.53  
33.2    	-70.75  
33.6    	-74.73  
34      	-76.95  
34.4    	-78.21  
34.8    	-78.94  
35.2    	-79.37  
35.6    	-79.6   
36      	-79.71  
36.4    	-79.74  
36.8    	-79.7   
37.2    	-79.61  
37.6    	-79.48  
38      	-79.32  
38.4    	-79.13  
38.8    	-78.93  
39.2    	-78.7   
39.6    	-78.47  
40      	-78.22  
40.4    	-77.96  
40.8    	-77.7   
41.2    	-77.44  
41.6    	-77.2   
42      	-76.96  
42.4    	-76.73  
42.8    	-76.49  
43.2    	-76.25  
43.6    	-76.02  
44      	-75.78  
44.4    	-75.52  
44.8    	-75.26  
45.2    	-75     
45.6    	-74.74  
46      	-74.49  
46.4    	-74.24  
46.8    	-73.99  
47.2    	-73.71  
47.6    	-73.25  
48      	-71.13  
48.4    	-59.41  
48.8    	3.953   
49.2    	43.16   
49.6    	30.98   
50      	13.8    
50.4    	-4.078  
50.8    	-21.94  
51.2    	-40.85  
51.6    	-57.06  
52      	-67.17  
52.4    	-72.77  
52.8    	-75.84  
53.2    	-77.56  
53.6    	-78.55  
54      	-79.12  
54.4    	-79.45  
54.8    	-79.63  
55.2    	-79.7   
55.6    	-79.71  
56      	-79.67  
56.4    	-79.59  
56.8    	-79.49  
57.2    	-79.36  
57.6    	-79.21  
58      	-79.03  
58.4    	-78.84  
58.8    	-78.65  
59.2    	-78.44  
59.6    	-78.24  
60      	-78.03  
60.4    	-77.83  
60.8    	-77.63  
61.2    	-77.44  
61.6    	-77.26  
62      	-77.07  
62.4    	-76.88  
62.8    	-76.67  
63.2    	-76.46  
63.6    	-76.25  
64      	-76.02  
64.4    	-75.78  
64.8    	-75.51  
65.2    	-75.2   
65.6    	-74.83  
66      	-74.28  
66.4    	-72.31  
66.8    	-62.02  
67.2    	-11.36  
67.6    	43.58   
68      	32.56   
68.4    	15.64   
68.8    	-2.245  
69.2    	-19.99  
69.6    	-38.85  
70      	-55.56  
70.4    	-66.3   
70.8    	-72.3   
71.2    	-75.6   
71.6    	-77.46  
72      	-78.53  
72.4    	-79.16  
72.8    	-79.53  
73.2    	-79.74  
73.6    	-79.84  
74      	-79.87  
74.4    	-79.84  
74.8    	-79.77  
75.2    	-79.67  
75.6    	-79.54  
76      	-79.4   
76.4    	-79.25  
