
SWEPT_VAR_1 = 45.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.31  
4       	-71.89  
4.4     	-72.44  
4.8     	-72.96  
5.2     	-73.45  
5.6     	-73.91  
6       	-74.33  
6.4     	-74.73  
6.8     	-75.09  
7.2     	-75.43  
7.6     	-75.74  
8       	-76.02  
8.4     	-76.28  
8.8     	-76.47  
9.2     	-76.47  
9.6     	-75.94  
10      	-73.33  
10.4    	-61.18  
10.8    	-3.682  
11.2    	43.37   
11.6    	31.76   
12      	14.72   
12.4    	-3.18   
12.8    	-21.04  
13.2    	-40     
13.6    	-56.49  
14      	-66.93  
14.4    	-72.76  
14.8    	-76     
15.2    	-77.85  
15.6    	-78.95  
16      	-79.63  
16.4    	-80.07  
16.8    	-80.36  
17.2    	-80.55  
17.6    	-80.68  
18      	-80.77  
18.4    	-80.82  
18.8    	-80.84  
19.2    	-80.83  
19.6    	-80.82  
20      	-80.79  
20.4    	-80.76  
20.8    	-80.72  
21.2    	-80.65  
21.6    	-80.47  
22      	-79.94  
22.4    	-78.46  
22.8    	-72.81  
23.2    	-51.04  
23.6    	35.33   
24      	40.48   
24.4    	26.21   
24.8    	8.593   
25.2    	-9.154  
25.6    	-27.41  
26      	-46.05  
26.4    	-60.58  
26.8    	-69.2   
27.2    	-74     
27.6    	-76.69  
28      	-78.25  
28.4    	-79.19  
28.8    	-79.77  
29.2    	-80.15  
29.6    	-80.4   
30      	-80.56  
30.4    	-80.68  
30.8    	-80.76  
31.2    	-80.81  
31.6    	-80.84  
32      	-80.86  
32.4    	-80.86  
32.8    	-80.85  
33.2    	-80.83  
33.6    	-80.73  
34      	-80.37  
34.4    	-79.43  
34.8    	-76.27  
35.2    	-63.96  
35.6    	-15.13  
36      	43.41   
36.4    	32.99   
36.8    	16.25   
37.2    	-1.628  
37.6    	-19.4   
38      	-38.27  
38.4    	-55.11  
38.8    	-66.08  
39.2    	-72.27  
39.6    	-75.71  
40      	-77.67  
40.4    	-78.83  
40.8    	-79.55  
41.2    	-80.01  
41.6    	-80.32  
42      	-80.51  
42.4    	-80.63  
42.8    	-80.71  
43.2    	-80.75  
43.6    	-80.76  
44      	-80.75  
44.4    	-80.72  
44.8    	-80.69  
45.2    	-80.65  
45.6    	-80.6   
46      	-80.53  
46.4    	-80.38  
46.8    	-79.96  
47.2    	-78.83  
47.6    	-74.71  
48      	-58.44  
48.4    	15.07   
48.8    	42.45   
49.2    	29.82   
49.6    	12.57   
50      	-5.266  
50.4    	-23.23  
50.8    	-42.09  
51.2    	-57.91  
51.6    	-67.69  
52      	-73.15  
52.4    	-76.2   
52.8    	-77.95  
53.2    	-79     
53.6    	-79.65  
54      	-80.07  
54.4    	-80.34  
54.8    	-80.53  
55.2    	-80.65  
55.6    	-80.72  
56      	-80.75  
56.4    	-80.76  
56.8    	-80.75  
57.2    	-80.71  
57.6    	-80.67  
58      	-80.62  
58.4    	-80.55  
58.8    	-80.48  
59.2    	-80.39  
59.6    	-80.28  
60      	-79.99  
60.4    	-79.24  
60.8    	-76.76  
61.2    	-66.91  
61.6    	-28.81  
62      	43.5    
62.4    	35.18   
62.8    	18.9    
63.2    	1.002   
63.6    	-16.7   
64      	-35.49  
64.4    	-52.97  
64.8    	-64.83  
65.2    	-71.56  
65.6    	-75.31  
66      	-77.43  
66.4    	-78.66  
66.8    	-79.42  
67.2    	-79.89  
67.6    	-80.19  
68      	-80.38  
68.4    	-80.49  
68.8    	-80.55  
69.2    	-80.57  
69.6    	-80.56  
70      	-80.51  
70.4    	-80.3   
70.8    	-79.74  
71.2    	-78.21  
71.6    	-72.3   
72      	-49.8   
72.4    	36.28   
72.8    	39.94   
73.2    	25.53   
73.6    	7.896   
74      	-9.82   
74.4    	-28.11  
74.8    	-46.65  
75.2    	-60.93  
75.6    	-69.37  
76      	-74.06  
76.4    	-76.68  
76.8    	-78.19  
