L			V_Ratio		Volume		Surface		Surface/Volume
400.8   	1.732e-06	3.032e+04	4.072e+04	4.186   
413.2   	4.892e-07	3.055e+04	4.095e+04	8       
420.3   	2.89e-07	3.062e+04	4.122e+04	6.553   
424.6   	2.555e-08	3.062e+04	4.123e+04	14.72   
429.9   	6.189e-08	3.062e+04	4.123e+04	11.63   
432.8   	1.17e-08	3.062e+04	4.123e+04	16.81   
436.4   	1.044e-05	3.067e+04	4.13e+04	1.504   
449.2   	1.284e-05	3.074e+04	4.155e+04	3.718   
453     	7.191e-06	3.077e+04	4.162e+04	1.803   
456.9   	9.271e-06	3.082e+04	4.171e+04	1.979   
460.9   	1.502e-05	3.09e+04	4.184e+04	1.617   
465.1   	2.593e-07	3.091e+04	4.185e+04	8.975   
468     	3.203e-05	3.108e+04	4.208e+04	1.286   
474     	3.055e-05	3.126e+04	4.232e+04	1.398   
481.4   	1.955e-08	3.139e+04	4.247e+04	15.84   
485.2   	3.928e-06	3.142e+04	4.252e+04	2.1     
493.6   	3.039e-05	3.16e+04	4.272e+04	1.035   
496.7   	2.768e-06	3.162e+04	4.277e+04	3.031   
501.6   	4.149e-06	3.165e+04	4.3e+04 	8.75    
504.3   	4.326e-07	3.165e+04	4.301e+04	4.576   
508.7   	2.369e-07	3.165e+04	4.303e+04	10.47   
512.5   	1.229e-06	3.166e+04	4.306e+04	3.609   
516.6   	3.789e-05	3.191e+04	4.334e+04	1.097   
520.3   	4.274e-06	3.194e+04	4.343e+04	3.175   
524.2   	8.053e-06	3.2e+04 	4.372e+04	5.183   
529     	6.305e-06	3.204e+04	4.392e+04	4.502   
536.2   	2.506e-06	3.206e+04	4.408e+04	9.02    
540.9   	2.243e-05	3.223e+04	4.433e+04	1.472   
548.8   	2.277e-05	3.24e+04	4.452e+04	1.122   
552.6   	1.999e-05	3.255e+04	4.473e+04	1.348   
556.7   	1.383e-06	3.257e+04	4.476e+04	2.879   
561.5   	4.038e-08	3.257e+04	4.476e+04	13.89   
565.6   	6.87e-06	3.262e+04	4.487e+04	1.84    
569     	6.775e-09	3.262e+04	4.487e+04	16.81   
572.2   	2.658e-06	3.264e+04	4.492e+04	2.188   
577.7   	1.462e-08	3.264e+04	4.492e+04	19.08   
581.1   	1.11e-07	3.264e+04	4.493e+04	7.486   
584.2   	9.735e-07	3.265e+04	4.497e+04	5.498   
L			V_Ratio		Volume		Surface		Surface/Volume
1.705   	0.07037 	13.53   	35.38   	2.615   
4.59    	1.012   	817.2   	723     	0.8556  
9.394   	0.1513  	1229    	1247    	1.271   
13.5    	0.08164 	1661    	1841    	1.377   
17.12   	0.01858 	1815    	2109    	1.741   
20.18   	0.09639 	2902    	3333    	1.125   
24.17   	0.03671 	3487    	4405    	1.833   
29.89   	0.009556	3717    	4856    	1.968   
33.54   	0.05252 	5292    	6376    	0.965   
37.33   	0.02088 	6063    	7545    	1.516   
40.39   	0.01619 	6760    	8416    	1.249   
44.16   	0.003306	6930    	9013    	3.522   
49.08   	0.002295	7074    	9290    	1.915   
53.16   	0.007426	7622    	9888    	1.091   
57.27   	0.01122 	8580    	1.089e+04	1.047   
60.85   	0.005712	9129    	1.178e+04	1.618   
65.37   	0.0005574	9191    	1.199e+04	3.418   
69.29   	0.002739	9531    	1.244e+04	1.332   
72.94   	0.003611	1.003e+04	1.297e+04	1.062   
77.24   	0.003932	1.063e+04	1.377e+04	1.326   
81.88   	0.001358	1.087e+04	1.44e+04	2.694   
84.49   	0.004779	1.174e+04	1.543e+04	1.17    
89.86   	0.006749	1.315e+04	1.723e+04	1.284   
92.92   	0.002249	1.364e+04	1.806e+04	1.661   
96.33   	0.0008895	1.386e+04	1.872e+04	3.141   
100.6   	0.001024	1.412e+04	1.906e+04	1.261   
104.2   	0.002208	1.474e+04	1.986e+04	1.306   
109.6   	0.001606	1.523e+04	2.053e+04	1.355   
113.3   	0.001623	1.576e+04	2.124e+04	1.33    
117.9   	0.00232 	1.659e+04	2.215e+04	1.104   
121     	0.0008274	1.69e+04	2.262e+04	1.53    
125.9   	0.001181	1.737e+04	2.332e+04	1.458   
128.2   	0.0007959	1.771e+04	2.369e+04	1.124   
132.7   	0.0005049	1.793e+04	2.407e+04	1.646   
136.5   	0.0003651	1.811e+04	2.434e+04	1.56    
140.1   	0.002192	1.92e+04	2.505e+04	0.6529  
144.4   	0.001392	1.994e+04	2.569e+04	0.8596  
149.7   	0.001077	2.056e+04	2.649e+04	1.301   
153.8   	0.0009027	2.11e+04	2.715e+04	1.208   
157.4   	0.0002468	2.126e+04	2.748e+04	2.12    
161.1   	0.000506	2.159e+04	2.804e+04	1.693   
165.3   	4.961e-06	2.16e+04	2.809e+04	14.92   
169     	4.937e-06	2.16e+04	2.812e+04	7.586   
173.4   	4.224e-06	2.16e+04	2.814e+04	7.272   
177.9   	0.000488	2.2e+04 	2.846e+04	0.8121  
181.1   	8.326e-06	2.2e+04 	2.85e+04	5.486   
184.7   	0.0001818	2.216e+04	2.874e+04	1.505   
188.7   	7.212e-06	2.217e+04	2.887e+04	20.24   
192.2   	9.194e-06	2.217e+04	2.89e+04	3.128   
196.9   	4.114e-06	2.218e+04	2.892e+04	5.732   
