
SWEPT_VAR_1 = 95.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.32  
4       	-71.89  
4.4     	-72.43  
4.8     	-72.94  
5.2     	-73.4   
5.6     	-73.84  
6       	-74.24  
6.4     	-74.63  
6.8     	-74.99  
7.2     	-75.33  
7.6     	-75.65  
8       	-75.96  
8.4     	-76.26  
8.8     	-76.53  
9.2     	-76.79  
9.6     	-77.03  
10      	-77.26  
10.4    	-77.46  
10.8    	-77.65  
11.2    	-77.82  
11.6    	-77.99  
12      	-78.14  
12.4    	-78.29  
12.8    	-78.43  
13.2    	-78.55  
13.6    	-78.65  
14      	-78.74  
14.4    	-78.83  
14.8    	-78.9   
15.2    	-78.98  
15.6    	-79.05  
16      	-79.11  
16.4    	-79.16  
16.8    	-79.16  
17.2    	-78.92  
17.6    	-78.07  
18      	-74.79  
18.4    	-61.17  
18.8    	-0.5173 
19.2    	43.22   
19.6    	31.49   
20      	14.44   
20.4    	-3.446  
20.8    	-21.32  
21.2    	-40.24  
21.6    	-56.63  
22      	-66.99  
22.4    	-72.79  
22.8    	-76.03  
23.2    	-77.88  
23.6    	-79     
24      	-79.7   
24.4    	-80.16  
24.8    	-80.47  
25.2    	-80.7   
25.6    	-80.87  
26      	-81     
26.4    	-81.1   
26.8    	-81.18  
27.2    	-81.25  
27.6    	-81.31  
28      	-81.35  
28.4    	-81.4   
28.8    	-81.44  
29.2    	-81.47  
29.6    	-81.5   
30      	-81.52  
30.4    	-81.53  
30.8    	-81.54  
31.2    	-81.54  
31.6    	-81.54  
32      	-81.55  
32.4    	-81.55  
32.8    	-81.56  
33.2    	-81.57  
33.6    	-81.57  
34      	-81.58  
34.4    	-81.59  
34.8    	-81.6   
35.2    	-81.61  
35.6    	-81.63  
36      	-81.64  
36.4    	-81.66  
36.8    	-81.68  
37.2    	-81.71  
37.6    	-81.73  
38      	-81.75  
38.4    	-81.77  
38.8    	-81.78  
39.2    	-81.79  
39.6    	-81.79  
40      	-81.79  
40.4    	-81.78  
40.8    	-81.78  
41.2    	-81.77  
41.6    	-81.76  
42      	-81.75  
42.4    	-81.74  
42.8    	-81.73  
43.2    	-81.72  
43.6    	-81.71  
44      	-81.7   
44.4    	-81.68  
44.8    	-81.67  
45.2    	-81.66  
45.6    	-81.64  
46      	-81.63  
46.4    	-81.62  
46.8    	-81.61  
47.2    	-81.6   
47.6    	-81.59  
48      	-81.58  
48.4    	-81.57  
48.8    	-81.56  
49.2    	-81.56  
49.6    	-81.55  
50      	-81.54  
50.4    	-81.53  
50.8    	-81.52  
51.2    	-81.52  
51.6    	-81.52  
52      	-81.52  
52.4    	-81.52  
52.8    	-81.52  
53.2    	-81.52  
53.6    	-81.52  
54      	-81.51  
54.4    	-81.51  
54.8    	-81.5   
55.2    	-81.49  
55.6    	-81.49  
56      	-81.49  
56.4    	-81.49  
56.8    	-81.5   
57.2    	-81.51  
57.6    	-81.52  
58      	-81.53  
58.4    	-81.55  
58.8    	-81.56  
59.2    	-81.58  
59.6    	-81.59  
60      	-81.61  
60.4    	-81.62  
60.8    	-81.63  
61.2    	-81.64  
61.6    	-81.66  
62      	-81.68  
62.4    	-81.69  
62.8    	-81.72  
63.2    	-81.74  
63.6    	-81.76  
64      	-81.77  
64.4    	-81.79  
64.8    	-81.8   
65.2    	-81.81  
65.6    	-81.83  
66      	-81.84  
66.4    	-81.84  
66.8    	-81.85  
67.2    	-81.85  
67.6    	-81.85  
68      	-81.86  
68.4    	-81.86  
68.8    	-81.86  
69.2    	-81.85  
69.6    	-81.82  
70      	-81.8   
70.4    	-81.77  
70.8    	-81.73  
71.2    	-81.69  
71.6    	-81.65  
72      	-81.62  
72.4    	-81.58  
72.8    	-81.55  
73.2    	-81.51  
73.6    	-81.48  
74      	-81.45  
74.4    	-81.42  
74.8    	-81.38  
75.2    	-81.35  
75.6    	-81.32  
76      	-81.29  
