
SWEPT_VAR_1 = 55.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.47  
4.8     	-72.99  
5.2     	-73.46  
5.6     	-73.9   
6       	-74.31  
6.4     	-74.68  
6.8     	-75.03  
7.2     	-75.36  
7.6     	-75.67  
8       	-75.97  
8.4     	-76.26  
8.8     	-76.53  
9.2     	-76.79  
9.6     	-77.03  
10      	-77.25  
10.4    	-77.47  
10.8    	-77.67  
11.2    	-77.86  
11.6    	-78.03  
12      	-78.2   
12.4    	-78.36  
12.8    	-78.51  
13.2    	-78.66  
13.6    	-78.79  
14      	-78.91  
14.4    	-79.02  
14.8    	-79.11  
15.2    	-79.19  
15.6    	-79.25  
16      	-79.32  
16.4    	-79.38  
16.8    	-79.43  
17.2    	-79.48  
17.6    	-79.52  
18      	-79.55  
18.4    	-79.58  
18.8    	-79.6   
19.2    	-79.62  
19.6    	-79.65  
20      	-79.68  
20.4    	-79.71  
20.8    	-79.74  
21.2    	-79.76  
21.6    	-79.77  
22      	-79.77  
22.4    	-79.78  
22.8    	-79.79  
23.2    	-79.81  
23.6    	-79.83  
24      	-79.84  
24.4    	-79.86  
24.8    	-79.88  
25.2    	-79.91  
25.6    	-79.93  
26      	-79.94  
26.4    	-79.95  
26.8    	-79.96  
27.2    	-79.97  
27.6    	-79.98  
28      	-80     
28.4    	-80.01  
28.8    	-80.02  
29.2    	-79.96  
29.6    	-79.64  
30      	-78.68  
30.4    	-75.15  
30.8    	-60.93  
31.2    	1.65    
31.6    	43.14   
32      	31.29   
32.4    	14.22   
32.8    	-3.661  
33.2    	-21.54  
33.6    	-40.45  
34      	-56.77  
34.4    	-67.06  
34.8    	-72.82  
35.2    	-76.03  
35.6    	-77.87  
36      	-78.97  
36.4    	-79.64  
36.8    	-80.08  
37.2    	-80.37  
37.6    	-80.55  
38      	-80.67  
38.4    	-80.74  
38.8    	-80.76  
39.2    	-80.76  
39.6    	-80.73  
40      	-80.69  
40.4    	-80.64  
40.8    	-80.57  
41.2    	-80.41  
41.6    	-79.96  
42      	-78.75  
42.4    	-74.2   
42.8    	-56.48  
43.2    	23.02   
43.6    	41.87   
44      	28.71   
44.4    	11.35   
44.8    	-6.436  
45.2    	-24.45  
45.6    	-43.22  
46      	-58.65  
46.4    	-68.08  
46.8    	-73.34  
47.2    	-76.26  
47.6    	-77.94  
48      	-78.94  
48.4    	-79.55  
48.8    	-79.94  
49.2    	-80.19  
49.6    	-80.34  
50      	-80.44  
50.4    	-80.5   
50.8    	-80.52  
51.2    	-80.52  
51.6    	-80.5   
52      	-80.48  
52.4    	-80.44  
52.8    	-80.4   
53.2    	-80.36  
53.6    	-80.31  
54      	-80.25  
54.4    	-80.18  
54.8    	-80.11  
55.2    	-80.04  
55.6    	-79.97  
56      	-79.9   
56.4    	-79.83  
56.8    	-79.72  
57.2    	-79.36  
57.6    	-78.36  
58      	-74.58  
58.4    	-59.19  
58.8    	11.26   
59.2    	42.75   
59.6    	30.31   
60      	13.1    
60.4    	-4.754  
60.8    	-22.69  
61.2    	-41.58  
61.6    	-57.56  
62      	-67.49  
62.4    	-73.03  
62.8    	-76.12  
63.2    	-77.88  
63.6    	-78.92  
64      	-79.57  
64.4    	-79.98  
64.8    	-80.26  
65.2    	-80.44  
65.6    	-80.56  
66      	-80.65  
66.4    	-80.71  
66.8    	-80.73  
67.2    	-80.74  
67.6    	-80.72  
68      	-80.7   
68.4    	-80.67  
68.8    	-80.63  
69.2    	-80.59  
69.6    	-80.55  
70      	-80.5   
70.4    	-80.43  
70.8    	-80.35  
71.2    	-80.27  
71.6    	-80.19  
72      	-80.11  
72.4    	-80.04  
72.8    	-79.96  
73.2    	-79.79  
73.6    	-79.31  
74      	-77.85  
74.4    	-72.01  
74.8    	-49.02  
75.2    	37.67   
75.6    	39.99   
76      	25.36   
76.4    	7.679   
