
SWEPT_VAR_1 = 25.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.31  
4       	-71.88  
4.4     	-72.4   
4.8     	-72.88  
5.2     	-73.32  
5.6     	-73.73  
6       	-74.09  
6.4     	-74.42  
6.8     	-74.71  
7.2     	-74.99  
7.6     	-75.24  
8       	-75.46  
8.4     	-75.65  
8.8     	-75.79  
9.2     	-75.81  
9.6     	-75.37  
10      	-73.09  
10.4    	-62.01  
10.8    	-9.689  
11.2    	43.54   
11.6    	32.38   
12      	15.44   
12.4    	-2.468  
12.8    	-20.28  
13.2    	-39.22  
13.6    	-55.91  
14      	-66.59  
14.4    	-72.56  
14.8    	-75.86  
15.2    	-77.74  
15.6    	-78.84  
16      	-79.52  
16.4    	-79.94  
16.8    	-80.22  
17.2    	-80.39  
17.6    	-80.51  
18      	-80.58  
18.4    	-80.61  
18.8    	-80.61  
19.2    	-80.53  
19.6    	-80.2   
20      	-79.39  
20.4    	-76.8   
20.8    	-66.78  
21.2    	-28.91  
21.6    	43.16   
22      	34.95   
22.4    	18.71   
22.8    	0.8335  
23.2    	-16.86  
23.6    	-35.62  
24      	-53.03  
24.4    	-64.82  
24.8    	-71.53  
25.2    	-75.25  
25.6    	-77.36  
26      	-78.58  
26.4    	-79.32  
26.8    	-79.78  
27.2    	-80.06  
27.6    	-80.23  
28      	-80.33  
28.4    	-80.37  
28.8    	-80.33  
29.2    	-80.11  
29.6    	-79.55  
30      	-78.06  
30.4    	-72.31  
30.8    	-50.48  
31.2    	35.09   
31.6    	39.99   
32      	25.73   
32.4    	8.139   
32.8    	-9.571  
33.2    	-27.83  
33.6    	-46.36  
34      	-60.72  
34.4    	-69.24  
34.8    	-73.97  
35.2    	-76.62  
35.6    	-78.13  
36      	-79.03  
36.4    	-79.57  
36.8    	-79.91  
37.2    	-80.12  
37.6    	-80.25  
38      	-80.32  
38.4    	-80.34  
38.8    	-80.33  
39.2    	-80.28  
39.6    	-80.14  
40      	-79.76  
40.4    	-78.88  
40.8    	-75.84  
41.2    	-63.83  
41.6    	-16.06  
42      	43.22   
42.4    	32.93   
42.8    	16.22   
43.2    	-1.644  
43.6    	-19.4   
44      	-38.23  
44.4    	-55.05  
44.8    	-66     
45.2    	-72.16  
45.6    	-75.58  
46      	-77.51  
46.4    	-78.63  
46.8    	-79.3   
47.2    	-79.7   
47.6    	-79.94  
48      	-80.08  
48.4    	-80.16  
48.8    	-80.17  
49.2    	-80.15  
49.6    	-80.09  
50      	-80.01  
50.4    	-79.91  
50.8    	-79.79  
51.2    	-79.64  
51.6    	-79.42  
52      	-79     
52.4    	-78.03  
52.8    	-74.43  
53.2    	-59.58  
53.6    	7.971   
54      	42.71   
54.4    	30.49   
54.8    	13.34   
55.2    	-4.506  
55.6    	-22.41  
56      	-41.28  
56.4    	-57.32  
56.8    	-67.32  
57.2    	-72.91  
57.6    	-76.01  
58      	-77.77  
58.4    	-78.81  
58.8    	-79.44  
59.2    	-79.83  
59.6    	-80.07  
60      	-80.2   
60.4    	-80.26  
60.8    	-80.28  
61.2    	-80.26  
61.6    	-80.21  
62      	-80.13  
62.4    	-80.02  
62.8    	-79.85  
63.2    	-79.5   
63.6    	-78.85  
64      	-77.03  
64.4    	-69.64  
64.8    	-40.91  
65.2    	41.81   
65.6    	37.67   
66      	22.18   
66.4    	4.356   
66.8    	-13.32  
67.2    	-31.88  
67.6    	-49.97  
68      	-62.99  
68.4    	-70.5   
68.8    	-74.65  
69.2    	-76.98  
69.6    	-78.32  
70      	-79.12  
70.4    	-79.61  
70.8    	-79.92  
71.2    	-80.1   
71.6    	-80.21  
72      	-80.27  
72.4    	-80.28  
72.8    	-80.26  
73.2    	-80.22  
73.6    	-80.15  
74      	-80.04  
74.4    	-79.83  
74.8    	-79.38  
75.2    	-78.38  
75.6    	-74.81  
76      	-60.35  
76.4    	3.575   
