
SWEPT_VAR_1 = 45.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.31  
4       	-71.9   
4.4     	-72.45  
4.8     	-72.97  
5.2     	-73.47  
5.6     	-73.94  
6       	-74.39  
6.4     	-74.82  
6.8     	-75.23  
7.2     	-75.61  
7.6     	-75.97  
8       	-76.3   
8.4     	-76.61  
8.8     	-76.9   
9.2     	-77.16  
9.6     	-77.41  
10      	-77.56  
10.4    	-77.42  
10.8    	-76.59  
11.2    	-72.88  
11.6    	-56.71  
12      	21.75   
12.4    	42.21   
12.8    	29.04   
13.2    	11.65   
13.6    	-6.18   
14      	-24.22  
14.4    	-43.1   
14.8    	-58.67  
15.2    	-68.17  
15.6    	-73.46  
16      	-76.41  
16.4    	-78.12  
16.8    	-79.14  
17.2    	-79.8   
17.6    	-80.23  
18      	-80.53  
18.4    	-80.74  
18.8    	-80.89  
19.2    	-81.01  
19.6    	-81.09  
20      	-81.15  
20.4    	-81.19  
20.8    	-81.22  
21.2    	-81.24  
21.6    	-81.25  
22      	-81.27  
22.4    	-81.27  
22.8    	-81.28  
23.2    	-81.27  
23.6    	-81.27  
24      	-81.25  
24.4    	-81.23  
24.8    	-81.2   
25.2    	-81.17  
25.6    	-81.14  
26      	-81.11  
26.4    	-81.08  
26.8    	-81.06  
27.2    	-81.04  
27.6    	-81.02  
28      	-81.01  
28.4    	-81     
28.8    	-80.99  
29.2    	-80.96  
29.6    	-80.93  
30      	-80.89  
30.4    	-80.83  
30.8    	-80.75  
31.2    	-80.54  
31.6    	-79.95  
32      	-78.24  
32.4    	-71.59  
32.8    	-46.24  
33.2    	39.77   
33.6    	39.21   
34      	24.22   
34.4    	6.475   
34.8    	-11.21  
35.2    	-29.61  
35.6    	-48     
36      	-61.8   
36.4    	-69.87  
36.8    	-74.36  
37.2    	-76.88  
37.6    	-78.34  
38      	-79.23  
38.4    	-79.78  
38.8    	-80.14  
39.2    	-80.38  
39.6    	-80.55  
40      	-80.66  
40.4    	-80.74  
40.8    	-80.79  
41.2    	-80.81  
41.6    	-80.83  
42      	-80.82  
42.4    	-80.8   
42.8    	-80.77  
43.2    	-80.73  
43.6    	-80.69  
44      	-80.64  
44.4    	-80.59  
44.8    	-80.53  
45.2    	-80.47  
45.6    	-80.39  
46      	-80.3   
46.4    	-80.19  
46.8    	-80.02  
47.2    	-79.66  
47.6    	-78.7   
48      	-75.18  
48.4    	-61     
48.8    	1.219   
49.2    	43.12   
49.6    	31.31   
50      	14.25   
50.4    	-3.617  
50.8    	-21.48  
51.2    	-40.36  
51.6    	-56.66  
52      	-66.95  
52.4    	-72.72  
52.8    	-75.92  
53.2    	-77.75  
53.6    	-78.83  
54      	-79.49  
54.4    	-79.92  
54.8    	-80.19  
55.2    	-80.37  
55.6    	-80.49  
56      	-80.57  
56.4    	-80.62  
56.8    	-80.64  
57.2    	-80.64  
57.6    	-80.61  
58      	-80.56  
58.4    	-80.45  
58.8    	-80.12  
59.2    	-79.25  
59.6    	-76.36  
60      	-65.03  
60.4    	-20.76  
60.8    	43.48   
61.2    	33.76   
61.6    	17.18   
62      	-0.711  
62.4    	-18.46  
62.8    	-37.31  
63.2    	-54.39  
63.6    	-65.65  
64      	-72.01  
64.4    	-75.54  
64.8    	-77.55  
65.2    	-78.73  
65.6    	-79.46  
66      	-79.92  
66.4    	-80.21  
66.8    	-80.4   
67.2    	-80.52  
67.6    	-80.59  
68      	-80.63  
68.4    	-80.65  
68.8    	-80.65  
69.2    	-80.63  
69.6    	-80.6   
70      	-80.56  
70.4    	-80.5   
70.8    	-80.33  
71.2    	-79.84  
71.6    	-78.49  
72      	-73.36  
72.4    	-53.41  
72.8    	31.49   
73.2    	41.09   
73.6    	27.26   
74      	9.741   
74.4    	-8.024  
74.8    	-26.18  
75.2    	-44.9   
75.6    	-59.82  
76      	-68.76  
76.4    	-73.74  
