
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.67  
3.6     	-71.21  
4       	-71.69  
4.4     	-72.08  
4.8     	-72.31  
5.2     	-72.01  
5.6     	-69.21  
6       	-53.55  
6.4     	30.01   
6.8     	41.54   
7.2     	27.61   
7.6     	10.02   
8       	-7.77   
8.4     	-25.88  
8.8     	-44.66  
9.2     	-59.69  
9.6     	-68.62  
10      	-73.51  
10.4    	-76.19  
10.8    	-77.67  
11.2    	-78.5   
11.6    	-78.95  
12      	-79.17  
12.4    	-79.24  
12.8    	-79.21  
13.2    	-79.1   
13.6    	-78.93  
14      	-78.71  
14.4    	-78.44  
14.8    	-78.14  
15.2    	-77.81  
15.6    	-77.44  
16      	-77.05  
16.4    	-76.64  
16.8    	-76.19  
17.2    	-75.64  
17.6    	-74.29  
18      	-67.99  
18.4    	-39.84  
18.8    	42.26   
19.2    	37.45   
19.6    	21.8    
20      	3.952   
20.4    	-13.68  
20.8    	-32.19  
21.2    	-50.16  
21.6    	-63.01  
22      	-70.35  
22.4    	-74.37  
22.8    	-76.57  
23.2    	-77.79  
23.6    	-78.46  
24      	-78.81  
24.4    	-78.96  
24.8    	-78.97  
25.2    	-78.9   
25.6    	-78.76  
26      	-78.57  
26.4    	-78.35  
26.8    	-78.09  
27.2    	-77.79  
27.6    	-77.47  
28      	-77.12  
28.4    	-76.75  
28.8    	-76.35  
29.2    	-75.92  
29.6    	-75.27  
30      	-73.26  
30.4    	-63.68  
30.8    	-19.91  
31.2    	43.58   
31.6    	33.59   
32      	16.94   
32.4    	-0.9452 
32.8    	-18.62  
33.2    	-37.36  
33.6    	-54.32  
34      	-65.45  
34.4    	-71.68  
34.8    	-75.08  
35.2    	-76.95  
35.6    	-77.98  
36      	-78.54  
36.4    	-78.8   
36.8    	-78.89  
37.2    	-78.86  
37.6    	-78.75  
38      	-78.58  
38.4    	-78.37  
38.8    	-78.12  
39.2    	-77.84  
39.6    	-77.54  
40      	-77.21  
40.4    	-76.87  
40.8    	-76.51  
41.2    	-76.13  
41.6    	-75.71  
42      	-75.16  
42.4    	-73.77  
42.8    	-67.32  
43.2    	-37.95  
43.6    	42.67   
44      	36.99   
44.4    	21.18   
44.8    	3.322   
45.2    	-14.29  
45.6    	-32.8   
46      	-50.64  
46.4    	-63.28  
46.8    	-70.47  
47.2    	-74.39  
47.6    	-76.54  
48      	-77.72  
48.4    	-78.35  
48.8    	-78.67  
49.2    	-78.79  
49.6    	-78.78  
50      	-78.68  
50.4    	-78.53  
50.8    	-78.33  
51.2    	-78.1   
51.6    	-77.84  
52      	-77.55  
52.4    	-77.24  
52.8    	-76.92  
53.2    	-76.58  
53.6    	-76.21  
54      	-75.81  
54.4    	-75.32  
54.8    	-74.27  
55.2    	-69.78  
55.6    	-48.68  
56      	37.65   
56.4    	39.83   
56.8    	25.14   
57.2    	7.456   
57.6    	-10.2   
58      	-28.4   
58.4    	-46.81  
58.8    	-60.92  
59.2    	-69.17  
59.6    	-73.7   
60      	-76.17  
60.4    	-77.53  
60.8    	-78.28  
61.2    	-78.67  
61.6    	-78.84  
62      	-78.87  
62.4    	-78.8   
62.8    	-78.66  
63.2    	-78.47  
63.6    	-78.23  
64      	-77.97  
64.4    	-77.67  
64.8    	-77.34  
65.2    	-77     
65.6    	-76.61  
66      	-76.19  
66.4    	-75.67  
66.8    	-74.7   
67.2    	-70.8   
67.6    	-52.47  
68      	32.57   
68.4    	40.91   
68.8    	26.88   
69.2    	9.325   
69.6    	-8.385  
70      	-26.45  
70.4    	-45.02  
70.8    	-59.76  
71.2    	-68.52  
71.6    	-73.33  
72      	-75.96  
72.4    	-77.4   
72.8    	-78.2   
73.2    	-78.61  
73.6    	-78.8   
74      	-78.83  
74.4    	-78.77  
74.8    	-78.63  
75.2    	-78.45  
75.6    	-78.21  
76      	-77.95  
76.4    	-77.65  
