
SWEPT_VAR_1 = 65.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.49  
4.8     	-73.04  
5.2     	-73.56  
5.6     	-74.05  
6       	-74.51  
6.4     	-74.95  
6.8     	-75.36  
7.2     	-75.74  
7.6     	-76.1   
8       	-76.44  
8.4     	-76.76  
8.8     	-77.07  
9.2     	-77.36  
9.6     	-77.63  
10      	-77.88  
10.4    	-78.12  
10.8    	-78.34  
11.2    	-78.53  
11.6    	-78.71  
12      	-78.87  
12.4    	-79.01  
12.8    	-79.14  
13.2    	-79.26  
13.6    	-79.37  
14      	-79.47  
14.4    	-79.57  
14.8    	-79.66  
15.2    	-79.76  
15.6    	-79.85  
16      	-79.94  
16.4    	-80.03  
16.8    	-80.12  
17.2    	-80.21  
17.6    	-80.29  
18      	-80.37  
18.4    	-80.44  
18.8    	-80.49  
19.2    	-80.52  
19.6    	-80.53  
20      	-80.53  
20.4    	-80.52  
20.8    	-80.44  
21.2    	-80.08  
21.6    	-79.07  
22      	-75.48  
22.4    	-61.27  
22.8    	0.1424  
23.2    	43.17   
23.6    	31.44   
24      	14.4    
24.4    	-3.48   
24.8    	-21.35  
25.2    	-40.26  
25.6    	-56.62  
26      	-66.97  
26.4    	-72.79  
26.8    	-76.03  
27.2    	-77.89  
27.6    	-79.01  
28      	-79.71  
28.4    	-80.17  
28.8    	-80.48  
29.2    	-80.7   
29.6    	-80.86  
30      	-80.98  
30.4    	-81.07  
30.8    	-81.13  
31.2    	-81.18  
31.6    	-81.22  
32      	-81.25  
32.4    	-81.27  
32.8    	-81.29  
33.2    	-81.3   
33.6    	-81.31  
34      	-81.32  
34.4    	-81.33  
34.8    	-81.34  
35.2    	-81.35  
35.6    	-81.37  
36      	-81.38  
36.4    	-81.39  
36.8    	-81.4   
37.2    	-81.42  
37.6    	-81.43  
38      	-81.45  
38.4    	-81.46  
38.8    	-81.46  
39.2    	-81.47  
39.6    	-81.47  
40      	-81.48  
40.4    	-81.49  
40.8    	-81.5   
41.2    	-81.5   
41.6    	-81.51  
42      	-81.51  
42.4    	-81.5   
42.8    	-81.49  
43.2    	-81.46  
43.6    	-81.44  
44      	-81.42  
44.4    	-81.39  
44.8    	-81.37  
45.2    	-81.35  
45.6    	-81.33  
46      	-81.3   
46.4    	-81.28  
46.8    	-81.25  
47.2    	-81.23  
47.6    	-81.2   
48      	-81.18  
48.4    	-81.15  
48.8    	-81.13  
49.2    	-81.12  
49.6    	-81.1   
50      	-81.09  
50.4    	-81.08  
50.8    	-81.07  
51.2    	-81.05  
51.6    	-81.02  
52      	-80.99  
52.4    	-80.96  
52.8    	-80.92  
53.2    	-80.88  
53.6    	-80.83  
54      	-80.78  
54.4    	-80.65  
54.8    	-80.25  
55.2    	-79.17  
55.6    	-75.29  
56      	-60.05  
56.4    	7.339   
56.8    	42.92   
57.2    	30.74   
57.6    	13.6    
58      	-4.266  
58.4    	-22.18  
58.8    	-41.08  
59.2    	-57.21  
59.6    	-67.3   
60      	-72.96  
60.4    	-76.12  
60.8    	-77.93  
61.2    	-79.01  
61.6    	-79.68  
62      	-80.12  
62.4    	-80.42  
62.8    	-80.62  
63.2    	-80.76  
63.6    	-80.86  
64      	-80.94  
64.4    	-81     
64.8    	-81.04  
65.2    	-81.07  
65.6    	-81.1   
66      	-81.11  
66.4    	-81.13  
66.8    	-81.14  
67.2    	-81.14  
67.6    	-81.13  
68      	-81.12  
68.4    	-81.11  
68.8    	-81.09  
69.2    	-81.08  
69.6    	-81.05  
70      	-80.9   
70.4    	-80.42  
70.8    	-79.12  
71.2    	-74.37  
71.6    	-56.04  
72      	25.23   
72.4    	41.85   
72.8    	28.54   
73.2    	11.13   
73.6    	-6.652  
74      	-24.69  
74.4    	-43.48  
74.8    	-58.85  
75.2    	-68.22  
75.6    	-73.46  
76      	-76.4   
