
SWEPT_VAR_1 = 35.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.48  
4.8     	-72.99  
5.2     	-73.45  
5.6     	-73.87  
6       	-74.25  
6.4     	-74.6   
6.8     	-74.92  
7.2     	-75.22  
7.6     	-75.49  
8       	-75.74  
8.4     	-75.97  
8.8     	-76.18  
9.2     	-76.35  
9.6     	-76.37  
10      	-75.89  
10.4    	-73.55  
10.8    	-62.51  
11.2    	-11.81  
11.6    	43.58   
12      	32.63   
12.4    	15.74   
12.8    	-2.168  
13.2    	-19.97  
13.6    	-38.89  
14      	-55.66  
14.4    	-66.45  
14.8    	-72.49  
15.2    	-75.84  
15.6    	-77.75  
16      	-78.88  
16.4    	-79.57  
16.8    	-80.01  
17.2    	-80.3   
17.6    	-80.49  
18      	-80.62  
18.4    	-80.71  
18.8    	-80.76  
19.2    	-80.77  
19.6    	-80.76  
20      	-80.74  
20.4    	-80.7   
20.8    	-80.65  
21.2    	-80.59  
21.6    	-80.53  
22      	-80.47  
22.4    	-80.37  
22.8    	-80.08  
23.2    	-79.29  
23.6    	-76.68  
24      	-66.37  
24.4    	-26.43  
24.8    	43.58   
25.2    	34.77   
25.6    	18.38   
26      	0.4814  
26.4    	-17.24  
26.8    	-36.06  
27.2    	-53.43  
27.6    	-65.1   
28      	-71.72  
28.4    	-75.39  
28.8    	-77.48  
29.2    	-78.71  
29.6    	-79.46  
30      	-79.95  
30.4    	-80.26  
30.8    	-80.47  
31.2    	-80.61  
31.6    	-80.71  
32      	-80.76  
32.4    	-80.78  
32.8    	-80.68  
33.2    	-80.31  
33.6    	-79.38  
34      	-76.26  
34.4    	-64.3   
34.8    	-17.92  
35.2    	43.22   
35.6    	33.17   
36      	16.52   
36.4    	-1.352  
36.8    	-19.12  
37.2    	-37.97  
37.6    	-54.88  
38      	-65.94  
38.4    	-72.18  
38.8    	-75.66  
39.2    	-77.65  
39.6    	-78.83  
40      	-79.56  
40.4    	-80.03  
40.8    	-80.35  
41.2    	-80.57  
41.6    	-80.72  
42      	-80.81  
42.4    	-80.87  
42.8    	-80.9   
43.2    	-80.86  
43.6    	-80.62  
44      	-79.98  
44.4    	-78.17  
44.8    	-71.28  
45.2    	-45.59  
45.6    	39.64   
46      	38.75   
46.4    	23.76   
46.8    	6.033   
47.2    	-11.64  
47.6    	-30.07  
48      	-48.38  
48.4    	-62.02  
48.8    	-69.99  
49.2    	-74.41  
49.6    	-76.9   
50      	-78.34  
50.4    	-79.22  
50.8    	-79.77  
51.2    	-80.12  
51.6    	-80.36  
52      	-80.51  
52.4    	-80.62  
52.8    	-80.68  
53.2    	-80.72  
53.6    	-80.74  
54      	-80.75  
54.4    	-80.75  
54.8    	-80.72  
55.2    	-80.68  
55.6    	-80.54  
56      	-80.14  
56.4    	-79.13  
56.8    	-75.53  
57.2    	-61.44  
57.6    	-1.6    
58      	43.05   
58.4    	31.47   
58.8    	14.47   
59.2    	-3.393  
59.6    	-21.24  
60      	-40.12  
60.4    	-56.48  
60.8    	-66.85  
61.2    	-72.67  
61.6    	-75.91  
62      	-77.76  
62.4    	-78.86  
62.8    	-79.54  
63.2    	-79.96  
63.6    	-80.23  
64      	-80.4   
64.4    	-80.5   
64.8    	-80.56  
65.2    	-80.58  
65.6    	-80.57  
66      	-80.54  
66.4    	-80.49  
66.8    	-80.43  
67.2    	-80.35  
67.6    	-80.14  
68      	-79.58  
68.4    	-77.93  
68.8    	-71.45  
69.2    	-46.63  
69.6    	39.22   
70      	39.16   
70.4    	24.25   
70.8    	6.526   
71.2    	-11.16  
71.6    	-29.55  
72      	-47.93  
72.4    	-61.76  
72.8    	-69.85  
73.2    	-74.34  
73.6    	-76.87  
74      	-78.34  
74.4    	-79.23  
74.8    	-79.79  
75.2    	-80.15  
75.6    	-80.39  
76      	-80.55  
76.4    	-80.65  
