
SWEPT_VAR_1 = 2.000000000000000e+01    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.1     	-64.67  
0.2     	-64.67  
0.3     	-64.68  
0.4     	-64.68  
0.5     	-64.69  
0.6     	-64.69  
0.7     	-64.69  
0.8     	-64.7   
0.9     	-64.7   
1       	-64.7   
1.1     	-64.7   
1.2     	-64.71  
1.3     	-64.71  
1.4     	-64.71  
1.5     	-64.71  
1.6     	-64.72  
1.7     	-64.72  
1.8     	-64.72  
1.9     	-64.72  
2       	-64.72  
2.1     	-61.76  
2.2     	-54.64  
2.3     	-47.07  
2.4     	-39.19  
2.5     	-25.24  
2.6     	15.93   
2.7     	40.37   
2.8     	43.25   
2.9     	41.84   
3       	39.34   
3.1     	36.4    
3.2     	33.2    
3.3     	29.8    
3.4     	26.24   
3.5     	22.57   
3.6     	18.82   
3.7     	15.02   
3.8     	11.21   
3.9     	7.43    
4       	3.71    
4.1     	0.08226 
4.2     	-3.426  
4.3     	-6.792  
4.4     	-9.999  
4.5     	-13.03  
4.6     	-15.86  
4.7     	-18.45  
4.8     	-20.8   
4.9     	-22.91  
5       	-24.78  
5.1     	-26.42  
5.2     	-27.86  
5.3     	-29.1   
5.4     	-30.15  
5.5     	-31.05  
5.6     	-31.8   
5.7     	-32.42  
5.8     	-32.92  
5.9     	-33.33  
6       	-33.65  
6.1     	-33.89  
6.2     	-34.08  
6.3     	-34.21  
6.4     	-34.29  
6.5     	-34.34  
6.6     	-34.35  
6.7     	-34.33  
6.8     	-34.28  
6.9     	-34.21  
7       	-34.13  
7.1     	-34.03  
7.2     	-33.91  
7.3     	-33.79  
7.4     	-33.66  
7.5     	-33.52  
7.6     	-33.38  
7.7     	-33.23  
7.8     	-33.09  
7.9     	-32.95  
8       	-32.81  
8.1     	-32.67  
8.2     	-32.55  
8.3     	-32.43  
8.4     	-32.31  
8.5     	-32.21  
8.6     	-32.12  
8.7     	-32.04  
8.8     	-31.97  
8.9     	-31.91  
9       	-31.86  
9.1     	-31.82  
9.2     	-31.8   
9.3     	-31.78  
9.4     	-31.77  
9.5     	-31.77  
9.6     	-31.78  
9.7     	-31.79  
9.8     	-31.81  
9.9     	-31.83  
10      	-31.86  
10.1    	-31.89  
10.2    	-31.92  
10.3    	-31.95  
10.4    	-31.98  
10.5    	-32.01  
10.6    	-32.04  
10.7    	-32.07  
10.8    	-32.1   
10.9    	-32.12  
11      	-32.14  
11.1    	-32.16  
11.2    	-32.17  
11.3    	-32.18  
11.4    	-32.19  
11.5    	-32.19  
11.6    	-32.19  
11.7    	-32.19  
11.8    	-32.18  
11.9    	-32.17  
12      	-32.16  
12.1    	-30.77  
12.2    	-27.6   
12.3    	-24.47  
12.4    	-21.85  
12.5    	-19.84  
12.6    	-18.37  
12.7    	-17.38  
12.8    	-16.76  
12.9    	-16.41  
13      	-16.27  
13.1    	-16.27  
13.2    	-16.36  
13.3    	-16.52  
13.4    	-16.72  
13.5    	-16.93  
13.6    	-17.16  
13.7    	-17.39  
13.8    	-17.61  
13.9    	-17.83  
14      	-18.03  
14.1    	-18.23  
14.2    	-18.42  
14.3    	-18.59  
14.4    	-18.76  
14.5    	-18.92  
14.6    	-19.07  
14.7    	-19.21  
14.8    	-19.34  
14.9    	-19.47  
15      	-19.59  
15.1    	-19.71  
15.2    	-19.82  
15.3    	-19.93  
15.4    	-20.04  
15.5    	-20.14  
15.6    	-20.24  
15.7    	-20.34  
15.8    	-20.43  
15.9    	-20.52  
16      	-20.62  
16.1    	-20.71  
16.2    	-20.8   
16.3    	-20.88  
16.4    	-20.97  
16.5    	-21.06  
16.6    	-21.14  
16.7    	-21.23  
16.8    	-21.31  
16.9    	-21.39  
17      	-21.47  
17.1    	-21.55  
17.2    	-21.64  
17.3    	-21.72  
17.4    	-21.79  
17.5    	-21.87  
17.6    	-21.95  
17.7    	-22.03  
17.8    	-22.11  
17.9    	-22.19  
18      	-22.26  
18.1    	-22.34  
18.2    	-22.41  
18.3    	-22.49  
18.4    	-22.57  
18.5    	-22.64  
18.6    	-22.71  
