
SWEPT_VAR_1 = 1.100000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.1     	-64.72  
0.2     	-64.74  
0.3     	-64.76  
0.4     	-64.78  
0.5     	-64.79  
0.6     	-64.81  
0.7     	-64.82  
0.8     	-64.83  
0.9     	-64.84  
1       	-64.85  
1.1     	-64.86  
1.2     	-64.87  
1.3     	-64.88  
1.4     	-64.89  
1.5     	-64.89  
1.6     	-64.9   
1.7     	-64.91  
1.8     	-64.91  
1.9     	-64.92  
2       	-64.93  
2.1     	-62.83  
2.2     	-56.71  
2.3     	-49.64  
2.4     	-42.31  
2.5     	-30.93  
2.6     	6.257   
2.7     	40.04   
2.8     	44.41   
2.9     	43.19   
3       	40.69   
3.1     	37.71   
3.2     	34.44   
3.3     	30.95   
3.4     	27.29   
3.5     	23.49   
3.6     	19.59   
3.7     	15.62   
3.8     	11.63   
3.9     	7.649   
4       	3.72    
4.1     	-0.1242 
4.2     	-3.854  
4.3     	-7.443  
4.4     	-10.87  
4.5     	-14.13  
4.6     	-17.16  
4.7     	-19.94  
4.8     	-22.46  
4.9     	-24.72  
5       	-26.73  
5.1     	-28.5   
5.2     	-30.04  
5.3     	-31.37  
5.4     	-32.5   
5.5     	-33.45  
5.6     	-34.24  
5.7     	-34.89  
5.8     	-35.42  
5.9     	-35.84  
6       	-36.17  
6.1     	-36.42  
6.2     	-36.6   
6.3     	-36.72  
6.4     	-36.79  
6.5     	-36.81  
6.6     	-36.8   
6.7     	-36.75  
6.8     	-36.67  
6.9     	-36.56  
7       	-36.43  
7.1     	-36.28  
7.2     	-36.11  
7.3     	-35.93  
7.4     	-35.73  
7.5     	-35.53  
7.6     	-35.31  
7.7     	-35.09  
7.8     	-34.86  
7.9     	-34.64  
8       	-34.42  
8.1     	-34.2   
8.2     	-33.99  
8.3     	-33.8   
8.4     	-33.61  
8.5     	-33.44  
8.6     	-33.28  
8.7     	-33.15  
8.8     	-33.03  
8.9     	-32.93  
9       	-32.85  
9.1     	-32.79  
9.2     	-32.74  
9.3     	-32.72  
9.4     	-32.71  
9.5     	-32.72  
9.6     	-32.73  
9.7     	-32.76  
9.8     	-32.8   
9.9     	-32.85  
10      	-32.9   
10.1    	-32.95  
10.2    	-33.01  
10.3    	-33.06  
10.4    	-33.12  
10.5    	-33.17  
10.6    	-33.22  
10.7    	-33.27  
10.8    	-33.31  
10.9    	-33.34  
11      	-33.37  
11.1    	-33.4   
11.2    	-33.41  
11.3    	-33.42  
11.4    	-33.43  
11.5    	-33.42  
11.6    	-33.42  
11.7    	-33.4   
11.8    	-33.38  
11.9    	-33.36  
12      	-33.33  
12.1    	-32.3   
12.2    	-29.5   
12.3    	-26.44  
12.4    	-23.73  
12.5    	-21.54  
12.6    	-19.92  
12.7    	-18.81  
12.8    	-18.11  
12.9    	-17.73  
13      	-17.59  
13.1    	-17.6   
13.2    	-17.73  
13.3    	-17.93  
13.4    	-18.17  
13.5    	-18.43  
13.6    	-18.7   
13.7    	-18.96  
13.8    	-19.22  
13.9    	-19.47  
14      	-19.71  
14.1    	-19.93  
14.2    	-20.14  
14.3    	-20.33  
14.4    	-20.51  
14.5    	-20.68  
14.6    	-20.84  
14.7    	-20.99  
14.8    	-21.13  
14.9    	-21.26  
15      	-21.38  
15.1    	-21.5   
15.2    	-21.61  
15.3    	-21.71  
15.4    	-21.81  
15.5    	-21.91  
15.6    	-22     
15.7    	-22.09  
15.8    	-22.18  
15.9    	-22.27  
16      	-22.35  
16.1    	-22.43  
16.2    	-22.52  
16.3    	-22.59  
16.4    	-22.67  
16.5    	-22.75  
16.6    	-22.82  
16.7    	-22.9   
16.8    	-22.97  
16.9    	-23.04  
17      	-23.12  
17.1    	-23.19  
17.2    	-23.26  
17.3    	-23.33  
17.4    	-23.4   
17.5    	-23.47  
17.6    	-23.54  
17.7    	-23.61  
17.8    	-23.67  
17.9    	-23.74  
18      	-23.81  
18.1    	-23.87  
18.2    	-23.94  
18.3    	-24     
18.4    	-24.07  
18.5    	-24.13  
18.6    	-24.2   
18.7    	-24.26  
