
SWEPT_VAR_1 = 1.550000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
29.1    	-21.14  
29.2    	-21.24  
29.3    	-21.33  
29.4    	-21.43  
29.5    	-21.52  
29.6    	-21.61  
29.7    	-21.7   
29.8    	-21.8   
29.9    	-21.89  
30      	-21.98  
30.1    	-22.07  
30.2    	-22.16  
30.3    	-22.25  
30.4    	-22.33  
30.5    	-22.42  
30.6    	-22.51  
30.7    	-22.6   
30.8    	-22.68  
30.9    	-22.77  
31      	-22.85  
31.1    	-22.93  
31.2    	-23.02  
31.3    	-23.1   
31.4    	-23.18  
31.5    	-23.26  
31.6    	-23.34  
31.7    	-23.42  
31.8    	-23.5   
31.9    	-23.58  
32      	-23.66  
32.1    	-23.13  
32.2    	-21.44  
32.3    	-19.57  
32.4    	-17.96  
32.5    	-16.69  
32.6    	-15.72  
32.7    	-15.01  
32.8    	-14.5   
32.9    	-14.14  
33      	-13.9   
33.1    	-13.75  
33.2    	-13.67  
33.3    	-13.64  
33.4    	-13.65  
33.5    	-13.69  
33.6    	-13.75  
33.7    	-13.83  
33.8    	-13.92  
33.9    	-14.02  
34      	-14.12  
34.1    	-14.23  
34.2    	-14.35  
34.3    	-14.46  
34.4    	-14.58  
34.5    	-14.7   
34.6    	-14.83  
34.7    	-14.95  
34.8    	-15.07  
34.9    	-15.19  
35      	-15.31  
35.1    	-15.43  
35.2    	-15.56  
35.3    	-15.68  
35.4    	-15.8   
35.5    	-15.92  
35.6    	-16.04  
35.7    	-16.16  
35.8    	-16.28  
35.9    	-16.4   
36      	-16.52  
36.1    	-16.63  
36.2    	-16.75  
36.3    	-16.87  
36.4    	-16.99  
36.5    	-17.1   
36.6    	-17.22  
36.7    	-17.34  
36.8    	-17.45  
36.9    	-17.57  
37      	-17.68  
37.1    	-17.8   
37.2    	-17.91  
37.3    	-18.03  
37.4    	-18.14  
37.5    	-18.25  
37.6    	-18.37  
37.7    	-18.48  
37.8    	-18.59  
37.9    	-18.7   
38      	-18.81  
38.1    	-18.92  
38.2    	-19.03  
38.3    	-19.14  
38.4    	-19.25  
38.5    	-19.36  
38.6    	-19.47  
38.7    	-19.58  
38.8    	-19.68  
38.9    	-19.79  
39      	-19.9   
39.1    	-20     
39.2    	-20.11  
39.3    	-20.21  
39.4    	-20.31  
39.5    	-20.42  
39.6    	-20.52  
39.7    	-20.62  
39.8    	-20.72  
39.9    	-20.82  
40      	-20.93  
40.1    	-21.03  
40.2    	-21.12  
40.3    	-21.22  
40.4    	-21.32  
40.5    	-21.42  
40.6    	-21.52  
40.7    	-21.61  
40.8    	-21.71  
40.9    	-21.8   
41      	-21.9   
41.1    	-21.99  
41.2    	-22.08  
41.3    	-22.17  
41.4    	-22.27  
41.5    	-22.36  
41.6    	-22.45  
41.7    	-22.54  
41.8    	-22.62  
41.9    	-22.71  
42      	-22.8   
42.1    	-22.3   
42.2    	-20.69  
42.3    	-18.9   
42.4    	-17.36  
42.5    	-16.14  
42.6    	-15.22  
42.7    	-14.54  
42.8    	-14.05  
42.9    	-13.71  
43      	-13.49  
43.1    	-13.35  
43.2    	-13.27  
43.3    	-13.25  
43.4    	-13.26  
43.5    	-13.3   
43.6    	-13.36  
43.7    	-13.44  
43.8    	-13.53  
43.9    	-13.63  
44      	-13.74  
44.1    	-13.85  
44.2    	-13.97  
44.3    	-14.08  
44.4    	-14.2   
44.5    	-14.33  
44.6    	-14.45  
44.7    	-14.57  
44.8    	-14.69  
44.9    	-14.82  
