
SWEPT_VAR_1 = 6.500000000000000e+01    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.1     	-64.69  
0.2     	-64.71  
0.3     	-64.72  
0.4     	-64.73  
0.5     	-64.74  
0.6     	-64.75  
0.7     	-64.76  
0.8     	-64.77  
0.9     	-64.77  
1       	-64.78  
1.1     	-64.78  
1.2     	-64.79  
1.3     	-64.8   
1.4     	-64.8   
1.5     	-64.81  
1.6     	-64.81  
1.7     	-64.81  
1.8     	-64.82  
1.9     	-64.82  
2       	-64.83  
2.1     	-62.37  
2.2     	-55.75  
2.3     	-48.41  
2.4     	-40.79  
2.5     	-28.13  
2.6     	11.95   
2.7     	40.45   
2.8     	43.93   
2.9     	42.59   
3       	40.08   
3.1     	37.1    
3.2     	33.86   
3.3     	30.4    
3.4     	26.78   
3.5     	23.04   
3.6     	19.2    
3.7     	15.31   
3.8     	11.4    
3.9     	7.515   
4       	3.685   
4.1     	-0.05506
4.2     	-3.677  
4.3     	-7.158  
4.4     	-10.48  
4.5     	-13.62  
4.6     	-16.55  
4.7     	-19.24  
4.8     	-21.68  
4.9     	-23.86  
5       	-25.8   
5.1     	-27.5   
5.2     	-28.99  
5.3     	-30.27  
5.4     	-31.36  
5.5     	-32.29  
5.6     	-33.05  
5.7     	-33.69  
5.8     	-34.2   
5.9     	-34.61  
6       	-34.93  
6.1     	-35.18  
6.2     	-35.36  
6.3     	-35.49  
6.4     	-35.56  
6.5     	-35.59  
6.6     	-35.59  
6.7     	-35.55  
6.8     	-35.49  
6.9     	-35.4   
7       	-35.29  
7.1     	-35.17  
7.2     	-35.03  
7.3     	-34.87  
7.4     	-34.71  
7.5     	-34.54  
7.6     	-34.36  
7.7     	-34.18  
7.8     	-34     
7.9     	-33.83  
8       	-33.65  
8.1     	-33.48  
8.2     	-33.32  
8.3     	-33.17  
8.4     	-33.02  
8.5     	-32.89  
8.6     	-32.77  
8.7     	-32.67  
8.8     	-32.58  
8.9     	-32.5   
9       	-32.44  
9.1     	-32.39  
9.2     	-32.36  
9.3     	-32.34  
9.4     	-32.33  
9.5     	-32.33  
9.6     	-32.34  
9.7     	-32.36  
9.8     	-32.38  
9.9     	-32.41  
10      	-32.45  
10.1    	-32.48  
10.2    	-32.52  
10.3    	-32.56  
10.4    	-32.6   
10.5    	-32.64  
10.6    	-32.68  
10.7    	-32.71  
10.8    	-32.74  
10.9    	-32.77  
11      	-32.79  
11.1    	-32.81  
11.2    	-32.82  
11.3    	-32.83  
11.4    	-32.83  
11.5    	-32.83  
11.6    	-32.83  
11.7    	-32.82  
11.8    	-32.8   
11.9    	-32.79  
12      	-32.77  
12.1    	-31.59  
12.2    	-28.61  
12.3    	-25.5   
12.4    	-22.83  
12.5    	-20.73  
12.6    	-19.19  
12.7    	-18.14  
12.8    	-17.49  
12.9    	-17.13  
13      	-16.98  
13.1    	-16.99  
13.2    	-17.1   
13.3    	-17.27  
13.4    	-17.49  
13.5    	-17.73  
13.6    	-17.97  
13.7    	-18.22  
13.8    	-18.46  
13.9    	-18.69  
14      	-18.91  
14.1    	-19.12  
14.2    	-19.31  
14.3    	-19.5   
14.4    	-19.67  
14.5    	-19.83  
14.6    	-19.99  
14.7    	-20.13  
14.8    	-20.27  
14.9    	-20.39  
15      	-20.52  
15.1    	-20.63  
15.2    	-20.74  
15.3    	-20.85  
15.4    	-20.96  
15.5    	-21.06  
15.6    	-21.15  
15.7    	-21.25  
15.8    	-21.34  
15.9    	-21.43  
16      	-21.52  
16.1    	-21.6   
16.2    	-21.69  
16.3    	-21.77  
16.4    	-21.85  
16.5    	-21.93  
16.6    	-22.01  
16.7    	-22.09  
16.8    	-22.17  
16.9    	-22.25  
17      	-22.33  
17.1    	-22.4   
17.2    	-22.48  
17.3    	-22.55  
17.4    	-22.63  
17.5    	-22.7   
17.6    	-22.78  
17.7    	-22.85  
17.8    	-22.92  
17.9    	-23     
18      	-23.07  
18.1    	-23.14  
18.2    	-23.21  
18.3    	-23.28  
18.4    	-23.35  
18.5    	-23.42  
18.6    	-23.49  
18.7    	-23.56  
