
SWEPT_VAR_1 = 2.000000000000000e+02    // Bio: Soma \ morphology \ PARAMETER \ diam (um)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.1     	-64.75  
0.2     	-64.79  
0.3     	-64.83  
0.4     	-64.85  
0.5     	-64.88  
0.6     	-64.9   
0.7     	-64.93  
0.8     	-64.95  
0.9     	-64.96  
1       	-64.98  
1.1     	-65     
1.2     	-65.01  
1.3     	-65.03  
1.4     	-65.04  
1.5     	-65.06  
1.6     	-65.07  
1.7     	-65.08  
1.8     	-65.09  
1.9     	-65.1   
2       	-65.12  
2.1     	-63.51  
2.2     	-58.26  
2.3     	-51.78  
2.4     	-44.97  
2.5     	-35.63  
2.6     	-7.31   
2.7     	37.57   
2.8     	44.94   
2.9     	44.14   
3       	41.72   
3.1     	38.76   
3.2     	35.49   
3.3     	31.97   
3.4     	28.26   
3.5     	24.39   
3.6     	20.4    
3.7     	16.32   
3.8     	12.2    
3.9     	8.065   
4       	3.969   
4.1     	-0.05597
4.2     	-3.977  
4.3     	-7.765  
4.4     	-11.4   
4.5     	-14.86  
4.6     	-18.08  
4.7     	-21.05  
4.8     	-23.75  
4.9     	-26.17  
5       	-28.33  
5.1     	-30.24  
5.2     	-31.9   
5.3     	-33.32  
5.4     	-34.54  
5.5     	-35.56  
5.6     	-36.41  
5.7     	-37.11  
5.8     	-37.67  
5.9     	-38.12  
6       	-38.48  
6.1     	-38.75  
6.2     	-38.94  
6.3     	-39.08  
6.4     	-39.15  
6.5     	-39.17  
6.6     	-39.15  
6.7     	-39.09  
6.8     	-39     
6.9     	-38.87  
7       	-38.71  
7.1     	-38.52  
7.2     	-38.3   
7.3     	-38.07  
7.4     	-37.8   
7.5     	-37.52  
7.6     	-37.22  
7.7     	-36.9   
7.8     	-36.57  
7.9     	-36.23  
8       	-35.88  
8.1     	-35.53  
8.2     	-35.18  
8.3     	-34.83  
8.4     	-34.5   
8.5     	-34.18  
8.6     	-33.89  
8.7     	-33.62  
8.8     	-33.38  
8.9     	-33.18  
9       	-33.02  
9.1     	-32.9   
9.2     	-32.82  
9.3     	-32.77  
9.4     	-32.76  
9.5     	-32.79  
9.6     	-32.84  
9.7     	-32.92  
9.8     	-33.02  
9.9     	-33.14  
10      	-33.27  
10.1    	-33.4   
10.2    	-33.54  
10.3    	-33.68  
10.4    	-33.81  
10.5    	-33.94  
10.6    	-34.06  
10.7    	-34.17  
10.8    	-34.27  
10.9    	-34.35  
11      	-34.42  
11.1    	-34.48  
11.2    	-34.53  
11.3    	-34.56  
11.4    	-34.58  
11.5    	-34.58  
11.6    	-34.58  
11.7    	-34.56  
11.8    	-34.53  
11.9    	-34.49  
12      	-34.44  
12.1    	-33.61  
12.2    	-31.12  
12.3    	-28.16  
12.4    	-25.36  
12.5    	-22.99  
12.6    	-21.16  
12.7    	-19.87  
12.8    	-19.05  
12.9    	-18.62  
13      	-18.45  
13.1    	-18.49  
13.2    	-18.65  
13.3    	-18.9   
13.4    	-19.2   
13.5    	-19.52  
13.6    	-19.85  
13.7    	-20.17  
13.8    	-20.49  
13.9    	-20.78  
14      	-21.06  
14.1    	-21.32  
14.2    	-21.56  
14.3    	-21.78  
14.4    	-21.98  
14.5    	-22.17  
14.6    	-22.34  
14.7    	-22.5   
14.8    	-22.65  
14.9    	-22.78  
15      	-22.91  
15.1    	-23.03  
15.2    	-23.14  
15.3    	-23.24  
15.4    	-23.34  
15.5    	-23.43  
15.6    	-23.52  
15.7    	-23.6   
15.8    	-23.69  
15.9    	-23.76  
16      	-23.84  
16.1    	-23.91  
16.2    	-23.98  
16.3    	-24.05  
16.4    	-24.12  
16.5    	-24.19  
16.6    	-24.25  
16.7    	-24.32  
16.8    	-24.38  
16.9    	-24.45  
17      	-24.51  
17.1    	-24.57  
17.2    	-24.63  
17.3    	-24.69  
17.4    	-24.75  
17.5    	-24.81  
17.6    	-24.87  
17.7    	-24.92  
17.8    	-24.98  
17.9    	-25.04  
18      	-25.1   
18.1    	-25.15  
18.2    	-25.21  
18.3    	-25.26  
18.4    	-25.32  
18.5    	-25.37  
18.6    	-25.43  
18.7    	-25.48  
