t	s.v( 0.05 )	dendA1_0.v( 0.5 )
ms	mV	mV
88.7    	-52.59  	-52.86  
88.8    	-51.62  	-51.89  
88.9    	-50.55  	-50.82  
89      	-49.15  	-49.46  
89.1    	-46.85  	-47.27  
89.2    	-42.62  	-43.28  
89.3    	-35.04  	-36.09  
89.4    	-16.54  	-18.5   
89.5    	22.2    	20.4    
89.6    	39.19   	39.11   
89.7    	43.16   	43.33   
89.8    	43.23   	43.41   
89.9    	41.55   	41.72   
90      	38.95   	39.12   
90.1    	35.81   	35.98   
90.2    	32.28   	32.45   
90.3    	28.47   	28.65   
90.4    	24.45   	24.62   
90.5    	20.25   	20.43   
90.6    	15.94   	16.11   
90.7    	11.53   	11.69   
90.8    	7.052   	7.209   
90.9    	2.545   	2.694   
91      	-1.97   	-1.831  
91.1    	-6.474  	-6.346  
91.2    	-10.95  	-10.84  
91.3    	-15.4   	-15.3   
91.4    	-19.77  	-19.68  
91.5    	-24.04  	-23.96  
91.6    	-28.19  	-28.13  
91.7    	-32.21  	-32.16  
91.8    	-36.07  	-36.03  
91.9    	-39.74  	-39.72  
92      	-43.24  	-43.22  
92.1    	-46.54  	-46.54  
92.2    	-49.64  	-49.63  
92.3    	-52.46  	-52.46  
92.4    	-55     	-55     
92.5    	-57.26  	-57.27  
92.6    	-59.26  	-59.27  
92.7    	-61.03  	-61.04  
92.8    	-62.58  	-62.59  
92.9    	-63.94  	-63.95  
93      	-65.13  	-65.14  
93.1    	-66.17  	-66.18  
93.2    	-67.07  	-67.08  
93.3    	-67.86  	-67.86  
93.4    	-68.54  	-68.55  
93.5    	-69.14  	-69.14  
93.6    	-69.66  	-69.66  
93.7    	-70.11  	-70.11  
93.8    	-70.5   	-70.51  
93.9    	-70.84  	-70.84  
94      	-71.12  	-71.12  
94.1    	-71.35  	-71.36  
94.2    	-71.55  	-71.56  
94.3    	-71.72  	-71.72  
94.4    	-71.85  	-71.86  
94.5    	-71.96  	-71.96  
94.6    	-72.03  	-72.03  
94.7    	-72.08  	-72.08  
94.8    	-72.12  	-72.12  
94.9    	-72.14  	-72.15  
95      	-72.15  	-72.15  
95.1    	-72.14  	-72.14  
95.2    	-72.13  	-72.12  
95.3    	-72.11  	-72.09  
95.4    	-72.08  	-72.06  
95.5    	-72.04  	-72.02  
95.6    	-71.99  	-71.97  
95.7    	-71.93  	-71.92  
95.8    	-71.87  	-71.86  
95.9    	-71.8   	-71.79  
96      	-71.73  	-71.72  
96.1    	-71.64  	-71.63  
96.2    	-71.56  	-71.55  
96.3    	-71.47  	-71.46  
96.4    	-71.37  	-71.36  
96.5    	-71.26  	-71.26  
96.6    	-71.15  	-71.14  
96.7    	-71.02  	-71.02  
96.8    	-70.89  	-70.89  
96.9    	-70.76  	-70.76  
97      	-70.63  	-70.63  
97.1    	-70.49  	-70.5   
97.2    	-70.35  	-70.36  
97.3    	-70.21  	-70.22  
97.4    	-70.07  	-70.08  
97.5    	-69.92  	-69.94  
97.6    	-69.77  	-69.78  
97.7    	-69.6   	-69.62  
97.8    	-69.44  	-69.46  
97.9    	-69.28  	-69.3   
98      	-69.13  	-69.14  
98.1    	-68.97  	-68.98  
98.2    	-68.81  	-68.82  
98.3    	-68.65  	-68.65  
98.4    	-68.48  	-68.48  
98.5    	-68.32  	-68.32  
98.6    	-68.17  	-68.17  
98.7    	-68.02  	-68.02  
98.8    	-67.87  	-67.87  
98.9    	-67.72  	-67.72  
99      	-67.56  	-67.56  
99.1    	-67.4   	-67.41  
99.2    	-67.25  	-67.25  
99.3    	-67.09  	-67.09  
99.4    	-66.93  	-66.94  
99.5    	-66.78  	-66.78  
99.6    	-66.62  	-66.63  
99.7    	-66.47  	-66.48  
99.8    	-66.32  	-66.33  
99.9    	-66.17  	-66.18  
100     	-66.03  	-66.04  
