t	s.v( 0.55 )	s.v( 0.05 )
ms	mV	mV
76.8    	-70.39  	-70.39  
77.2    	-70.08  	-70.07  
77.6    	-69.8   	-69.79  
78      	-69.5   	-69.49  
78.4    	-69     	-69     
78.8    	-67.92  	-67.93  
79.2    	-65.11  	-65.12  
79.6    	-58.15  	-58.18  
80      	-46.78  	-46.84  
80.4    	3.561   	3.477   
80.8    	41.56   	41.57   
81.2    	31.75   	31.77   
81.6    	15.28   	15.3    
82      	-2.958  	-2.934  
82.4    	-21.11  	-21.08  
82.8    	-37.87  	-37.85  
83.2    	-51.74  	-51.73  
83.6    	-61.38  	-61.37  
84      	-67.22  	-67.22  
84.4    	-70.63  	-70.63  
84.8    	-72.59  	-72.58  
85.2    	-73.69  	-73.69  
85.6    	-74.28  	-74.28  
86      	-74.56  	-74.56  
86.4    	-74.63  	-74.63  
86.8    	-74.57  	-74.57  
87.2    	-74.43  	-74.43  
87.6    	-74.22  	-74.22  
88      	-74.01  	-74.01  
88.4    	-73.8   	-73.8   
88.8    	-73.57  	-73.57  
89.2    	-73.3   	-73.3   
89.6    	-73     	-73     
90      	-72.69  	-72.69  
90.4    	-72.36  	-72.36  
90.8    	-71.99  	-71.99  
91.2    	-71.67  	-71.67  
91.6    	-71.34  	-71.34  
92      	-70.98  	-70.98  
92.4    	-70.66  	-70.66  
92.8    	-70.32  	-70.32  
93.2    	-69.99  	-69.99  
93.6    	-69.64  	-69.64  
94      	-69.25  	-69.25  
94.4    	-68.88  	-68.88  
94.8    	-68.57  	-68.57  
95.2    	-68.26  	-68.25  
95.6    	-67.93  	-67.93  
96      	-67.31  	-67.31  
96.4    	-65     	-65.01  
96.8    	-61.99  	-62     
97.2    	-60.82  	-60.83  
97.6    	-59.85  	-59.86  
98      	-58.1   	-58.11  
98.4    	-56.47  	-56.48  
98.8    	-51.26  	-51.29  
99.2    	-8.592  	-8.703  
99.6    	41.97   	41.98   
