
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.49  
4.8     	-73.04  
5.2     	-73.56  
5.6     	-74.06  
6       	-74.53  
6.4     	-74.99  
6.8     	-75.42  
7.2     	-75.83  
7.6     	-76.22  
8       	-76.59  
8.4     	-76.94  
8.8     	-77.27  
9.2     	-77.59  
9.6     	-77.87  
10      	-78.14  
10.4    	-78.39  
10.8    	-78.62  
11.2    	-78.84  
11.6    	-79.05  
12      	-79.24  
12.4    	-79.43  
12.8    	-79.6   
13.2    	-79.76  
13.6    	-79.91  
14      	-80.05  
14.4    	-80.18  
14.8    	-80.3   
15.2    	-80.41  
15.6    	-80.51  
16      	-80.6   
16.4    	-80.69  
16.8    	-80.78  
17.2    	-80.85  
17.6    	-80.92  
18      	-80.98  
18.4    	-81.04  
18.8    	-81.1   
19.2    	-81.16  
19.6    	-81.21  
20      	-81.26  
20.4    	-81.31  
20.8    	-81.36  
21.2    	-81.41  
21.6    	-81.46  
22      	-81.5   
22.4    	-81.55  
22.8    	-81.6   
23.2    	-81.64  
23.6    	-81.69  
24      	-81.74  
24.4    	-81.79  
24.8    	-81.84  
25.2    	-81.89  
25.6    	-81.94  
26      	-81.99  
26.4    	-82.04  
26.8    	-82.09  
27.2    	-82.14  
27.6    	-82.18  
28      	-82.22  
28.4    	-82.26  
28.8    	-82.28  
29.2    	-82.3   
29.6    	-82.31  
30      	-82.31  
30.4    	-82.3   
30.8    	-82.28  
31.2    	-82.25  
31.6    	-82.22  
32      	-82.18  
32.4    	-82.15  
32.8    	-82.11  
33.2    	-82.07  
33.6    	-82.03  
34      	-81.98  
34.4    	-81.92  
34.8    	-81.87  
35.2    	-81.81  
35.6    	-81.74  
36      	-81.66  
36.4    	-81.56  
36.8    	-81.47  
37.2    	-81.37  
37.6    	-81.29  
38      	-81.2   
38.4    	-81.12  
38.8    	-81.04  
39.2    	-80.95  
39.6    	-80.87  
40      	-80.79  
40.4    	-80.71  
40.8    	-80.64  
41.2    	-80.58  
41.6    	-80.52  
42      	-80.47  
42.4    	-80.42  
42.8    	-80.38  
43.2    	-80.35  
43.6    	-80.32  
44      	-80.3   
44.4    	-80.28  
44.8    	-80.27  
45.2    	-80.27  
45.6    	-80.27  
46      	-80.28  
46.4    	-80.29  
46.8    	-80.3   
47.2    	-80.31  
47.6    	-80.32  
48      	-80.33  
48.4    	-80.34  
48.8    	-80.35  
49.2    	-80.35  
49.6    	-80.35  
50      	-80.31  
50.4    	-80.11  
50.8    	-79.47  
51.2    	-77.43  
51.6    	-69.35  
52      	-38.35  
52.4    	42.68   
52.8    	37.26   
53.2    	21.52   
53.6    	3.657   
54      	-14.03  
54.4    	-32.67  
54.8    	-50.68  
55.2    	-63.48  
55.6    	-70.84  
56      	-74.92  
56.4    	-77.23  
56.8    	-78.59  
57.2    	-79.43  
57.6    	-79.97  
58      	-80.33  
58.4    	-80.58  
58.8    	-80.77  
59.2    	-80.9   
59.6    	-81.01  
60      	-81.08  
60.4    	-81.14  
60.8    	-81.19  
61.2    	-81.22  
61.6    	-81.24  
62      	-81.26  
62.4    	-81.27  
62.8    	-81.27  
63.2    	-81.27  
63.6    	-81.26  
64      	-81.26  
64.4    	-81.26  
64.8    	-81.26  
65.2    	-81.26  
65.6    	-81.27  
66      	-81.28  
66.4    	-81.29  
66.8    	-81.3   
67.2    	-81.31  
67.6    	-81.32  
68      	-81.32  
68.4    	-81.32  
68.8    	-81.32  
69.2    	-81.32  
69.6    	-81.32  
70      	-81.32  
70.4    	-81.32  
70.8    	-81.32  
71.2    	-81.33  
71.6    	-81.33  
72      	-81.33  
72.4    	-81.31  
72.8    	-81.29  
73.2    	-81.26  
73.6    	-81.22  
74      	-81.19  
74.4    	-81.16  
74.8    	-81.12  
75.2    	-81.08  
75.6    	-81.04  
