
SWEPT_VAR_1 = 35.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.49  
4.8     	-73.02  
5.2     	-73.51  
5.6     	-73.98  
6       	-74.41  
6.4     	-74.81  
6.8     	-75.19  
7.2     	-75.53  
7.6     	-75.85  
8       	-76.16  
8.4     	-76.44  
8.8     	-76.71  
9.2     	-76.96  
9.6     	-77.19  
10      	-77.42  
10.4    	-77.62  
10.8    	-77.8   
11.2    	-77.95  
11.6    	-78.09  
12      	-78.22  
12.4    	-78.32  
12.8    	-78.31  
13.2    	-77.92  
13.6    	-76.47  
14      	-70.19  
14.4    	-44.51  
14.8    	40.82   
15.2    	38.78   
15.6    	23.55   
16      	5.751   
16.4    	-11.95  
16.8    	-30.44  
17.2    	-48.79  
17.6    	-62.34  
18      	-70.2   
18.4    	-74.55  
18.8    	-76.99  
19.2    	-78.41  
19.6    	-79.27  
20      	-79.8   
20.4    	-80.15  
20.8    	-80.37  
21.2    	-80.52  
21.6    	-80.61  
22      	-80.67  
22.4    	-80.7   
22.8    	-80.72  
23.2    	-80.72  
23.6    	-80.71  
24      	-80.7   
24.4    	-80.69  
24.8    	-80.67  
25.2    	-80.65  
25.6    	-80.62  
26      	-80.6   
26.4    	-80.57  
26.8    	-80.55  
27.2    	-80.52  
27.6    	-80.51  
28      	-80.48  
28.4    	-80.46  
28.8    	-80.44  
29.2    	-80.41  
29.6    	-80.38  
30      	-80.35  
30.4    	-80.32  
30.8    	-80.26  
31.2    	-80.18  
31.6    	-80.01  
32      	-79.51  
32.4    	-78.09  
32.8    	-72.48  
33.2    	-50.47  
33.6    	36.22   
34      	40.42   
34.4    	26.02   
34.8    	8.371   
35.2    	-9.369  
35.6    	-27.64  
36      	-46.25  
36.4    	-60.71  
36.8    	-69.26  
37.2    	-74.01  
37.6    	-76.67  
38      	-78.2   
38.4    	-79.12  
38.8    	-79.68  
39.2    	-80.04  
39.6    	-80.26  
40      	-80.4   
40.4    	-80.48  
40.8    	-80.52  
41.2    	-80.53  
41.6    	-80.51  
42      	-80.38  
42.4    	-79.95  
42.8    	-78.86  
43.2    	-74.87  
43.6    	-59.38  
44      	8.825   
44.4    	42.46   
44.8    	30.24   
45.2    	13.09   
45.6    	-4.738  
46      	-22.66  
46.4    	-41.52  
46.8    	-57.47  
47.2    	-67.42  
47.6    	-72.98  
48      	-76.08  
48.4    	-77.85  
48.8    	-78.9   
49.2    	-79.55  
49.6    	-79.96  
50      	-80.24  
50.4    	-80.42  
50.8    	-80.54  
51.2    	-80.62  
51.6    	-80.67  
52      	-80.69  
52.4    	-80.69  
52.8    	-80.68  
53.2    	-80.66  
53.6    	-80.64  
54      	-80.6   
54.4    	-80.55  
54.8    	-80.5   
55.2    	-80.44  
55.6    	-80.38  
56      	-80.29  
56.4    	-80.17  
56.8    	-79.85  
57.2    	-79     
57.6    	-76.05  
58      	-64.25  
58.4    	-16.73  
58.8    	43.58   
59.2    	33.3    
59.6    	16.59   
60      	-1.301  
60.4    	-19.06  
60.8    	-37.91  
61.2    	-54.84  
61.6    	-65.9   
62      	-72.13  
62.4    	-75.59  
62.8    	-77.54  
63.2    	-78.67  
63.6    	-79.36  
64      	-79.79  
64.4    	-80.06  
64.8    	-80.23  
65.2    	-80.32  
65.6    	-80.37  
66      	-80.38  
66.4    	-80.36  
66.8    	-80.32  
67.2    	-80.26  
67.6    	-80.19  
68      	-80.1   
68.4    	-79.99  
68.8    	-79.86  
69.2    	-79.63  
69.6    	-79.07  
70      	-77.31  
70.4    	-70.17  
70.8    	-42.45  
71.2    	41.46   
71.6    	38.14   
72      	22.77   
72.4    	4.957   
72.8    	-12.73  
73.2    	-31.26  
73.6    	-49.47  
74      	-62.72  
74.4    	-70.38  
74.8    	-74.62  
75.2    	-77     
75.6    	-78.37  
76      	-79.2   
76.4    	-79.72  
