
SWEPT_VAR_1 = 25.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.32  
4       	-71.91  
4.4     	-72.46  
4.8     	-72.97  
5.2     	-73.45  
5.6     	-73.9   
6       	-74.32  
6.4     	-74.7   
6.8     	-75.04  
7.2     	-75.35  
7.6     	-75.61  
8       	-75.72  
8.4     	-75.39  
8.8     	-73.52  
9.2     	-64.3   
9.6     	-22.66  
10      	43.85   
10.4    	34.17   
10.8    	17.56   
11.2    	-0.3878 
11.6    	-18.15  
12      	-37.07  
12.4    	-54.33  
12.8    	-65.71  
13.2    	-72.1   
13.6    	-75.64  
14      	-77.65  
14.4    	-78.83  
14.8    	-79.57  
15.2    	-80.04  
15.6    	-80.34  
16      	-80.55  
16.4    	-80.67  
16.8    	-80.75  
17.2    	-80.78  
17.6    	-80.78  
18      	-80.74  
18.4    	-80.59  
18.8    	-80.13  
19.2    	-78.97  
19.6    	-74.77  
20      	-58.55  
20.4    	13.55   
20.8    	42.29   
21.2    	29.78   
21.6    	12.57   
22      	-5.255  
22.4    	-23.21  
22.8    	-42.05  
23.2    	-57.86  
23.6    	-67.63  
24      	-73.1   
24.4    	-76.14  
24.8    	-77.88  
25.2    	-78.91  
25.6    	-79.53  
26      	-79.92  
26.4    	-80.16  
26.8    	-80.31  
27.2    	-80.39  
27.6    	-80.39  
28      	-80.25  
28.4    	-79.83  
28.8    	-78.95  
29.2    	-76.03  
29.6    	-64.66  
30      	-20.84  
30.4    	43.07   
30.8    	33.44   
31.2    	16.89   
31.6    	-0.9707 
32      	-18.7   
32.4    	-37.52  
32.8    	-54.5   
33.2    	-65.68  
33.6    	-72.01  
34      	-75.52  
34.4    	-77.51  
34.8    	-78.67  
35.2    	-79.37  
35.6    	-79.81  
36      	-80.08  
36.4    	-80.24  
36.8    	-80.34  
37.2    	-80.38  
37.6    	-80.37  
38      	-80.32  
38.4    	-80.23  
38.8    	-80.1   
39.2    	-79.87  
39.6    	-79.45  
40      	-78.64  
40.4    	-76.07  
40.8    	-65.67  
41.2    	-24.71  
41.6    	43.43   
42      	34.32   
42.4    	17.88   
42.8    	-0.00503
43.2    	-17.72  
43.6    	-36.52  
44      	-53.76  
44.4    	-65.26  
44.8    	-71.76  
45.2    	-75.36  
45.6    	-77.4   
46      	-78.59  
46.4    	-79.31  
46.8    	-79.76  
47.2    	-80.04  
47.6    	-80.22  
48      	-80.31  
48.4    	-80.36  
48.8    	-80.37  
49.2    	-80.35  
49.6    	-80.3   
50      	-80.22  
50.4    	-80.06  
50.8    	-79.7   
51.2    	-78.93  
51.6    	-76.54  
52      	-66.99  
52.4    	-30.08  
52.8    	43.25   
53.2    	35.26   
53.6    	19.05   
54      	1.172   
54.4    	-16.51  
54.8    	-35.25  
55.2    	-52.73  
55.6    	-64.64  
56      	-71.42  
56.4    	-75.17  
56.8    	-77.28  
57.2    	-78.51  
57.6    	-79.25  
58      	-79.71  
58.4    	-79.99  
58.8    	-80.17  
59.2    	-80.26  
59.6    	-80.3   
60      	-80.29  
60.4    	-80.24  
60.8    	-80.16  
61.2    	-80.02  
61.6    	-79.69  
62      	-78.97  
62.4    	-76.75  
62.8    	-67.91  
63.2    	-33.99  
63.6    	42.84   
64      	35.96   
64.4    	19.96   
64.8    	2.11    
65.2    	-15.55  
65.6    	-34.22  
66      	-51.89  
66.4    	-64.14  
66.8    	-71.14  
67.2    	-75.02  
67.6    	-77.19  
68      	-78.46  
68.4    	-79.21  
68.8    	-79.67  
69.2    	-79.95  
69.6    	-80.11  
70      	-80.2   
70.4    	-80.23  
70.8    	-80.21  
71.2    	-80.12  
71.6    	-79.89  
72      	-79.42  
72.4    	-78.39  
72.8    	-74.68  
73.2    	-59.9   
73.6    	5.099   
74      	42.54   
74.4    	30.55   
74.8    	13.46   
75.2    	-4.374  
75.6    	-22.26  
76      	-41.1   
76.4    	-57.16  
