
SWEPT_VAR_1 = 65.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.69  
3.6     	-71.3   
4       	-71.88  
4.4     	-72.43  
4.8     	-72.95  
5.2     	-73.44  
5.6     	-73.9   
6       	-74.34  
6.4     	-74.75  
6.8     	-75.14  
7.2     	-75.51  
7.6     	-75.85  
8       	-76.18  
8.4     	-76.49  
8.8     	-76.79  
9.2     	-77.07  
9.6     	-77.33  
10      	-77.57  
10.4    	-77.79  
10.8    	-77.99  
11.2    	-78.18  
11.6    	-78.36  
12      	-78.52  
12.4    	-78.66  
12.8    	-78.81  
13.2    	-78.94  
13.6    	-79.05  
14      	-79.17  
14.4    	-79.27  
14.8    	-79.38  
15.2    	-79.48  
15.6    	-79.58  
16      	-79.68  
16.4    	-79.77  
16.8    	-79.87  
17.2    	-79.96  
17.6    	-80.04  
18      	-80.11  
18.4    	-80.18  
18.8    	-80.24  
19.2    	-80.29  
19.6    	-80.34  
20      	-80.39  
20.4    	-80.44  
20.8    	-80.48  
21.2    	-80.51  
21.6    	-80.54  
22      	-80.57  
22.4    	-80.6   
22.8    	-80.63  
23.2    	-80.65  
23.6    	-80.67  
24      	-80.69  
24.4    	-80.69  
24.8    	-80.62  
25.2    	-80.27  
25.6    	-79.3   
26      	-75.91  
26.4    	-62.6   
26.8    	-7.364  
27.2    	43.38   
27.6    	32.2    
28      	15.28   
28.4    	-2.6    
28.8    	-20.41  
29.2    	-39.3   
29.6    	-55.9   
30      	-66.55  
30.4    	-72.55  
30.8    	-75.89  
31.2    	-77.81  
31.6    	-78.96  
32      	-79.68  
32.4    	-80.16  
32.8    	-80.48  
33.2    	-80.72  
33.6    	-80.89  
34      	-81.03  
34.4    	-81.13  
34.8    	-81.2   
35.2    	-81.25  
35.6    	-81.27  
36      	-81.28  
36.4    	-81.27  
36.8    	-81.26  
37.2    	-81.24  
37.6    	-81.21  
38      	-81.08  
38.4    	-80.65  
38.8    	-79.53  
39.2    	-75.66  
39.6    	-60.77  
40      	3.114   
40.4    	42.97   
40.8    	31.08   
41.2    	14.01   
41.6    	-3.856  
42      	-21.74  
42.4    	-40.63  
42.8    	-56.86  
43.2    	-67.09  
43.6    	-72.83  
44      	-76.03  
44.4    	-77.87  
44.8    	-78.97  
45.2    	-79.66  
45.6    	-80.12  
46      	-80.43  
46.4    	-80.64  
46.8    	-80.8   
47.2    	-80.91  
47.6    	-80.98  
48      	-81.04  
48.4    	-81.07  
48.8    	-81.09  
49.2    	-81.09  
49.6    	-81.09  
50      	-81.09  
50.4    	-81.08  
50.8    	-81.07  
51.2    	-81.06  
51.6    	-81.05  
52      	-81.03  
52.4    	-81     
52.8    	-80.98  
53.2    	-80.96  
53.6    	-80.93  
54      	-80.91  
54.4    	-80.88  
54.8    	-80.84  
55.2    	-80.81  
55.6    	-80.78  
56      	-80.74  
56.4    	-80.71  
56.8    	-80.67  
57.2    	-80.64  
57.6    	-80.62  
58      	-80.6   
58.4    	-80.58  
58.8    	-80.56  
59.2    	-80.54  
59.6    	-80.53  
60      	-80.52  
60.4    	-80.51  
60.8    	-80.51  
61.2    	-80.5   
61.6    	-80.5   
62      	-80.5   
62.4    	-80.5   
62.8    	-80.51  
63.2    	-80.52  
63.6    	-80.54  
64      	-80.56  
64.4    	-80.59  
64.8    	-80.61  
65.2    	-80.64  
65.6    	-80.66  
66      	-80.68  
66.4    	-80.7   
66.8    	-80.72  
67.2    	-80.73  
67.6    	-80.75  
68      	-80.76  
68.4    	-80.78  
68.8    	-80.8   
69.2    	-80.82  
69.6    	-80.84  
70      	-80.86  
70.4    	-80.88  
70.8    	-80.9   
71.2    	-80.92  
71.6    	-80.94  
72      	-80.97  
72.4    	-80.99  
72.8    	-81.01  
73.2    	-81.02  
73.6    	-81.04  
74      	-81.05  
74.4    	-81.06  
74.8    	-81.06  
75.2    	-81.07  
75.6    	-81.08  
76      	-81.08  
