
SWEPT_VAR_1 = 55.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.32  
4       	-71.9   
4.4     	-72.45  
4.8     	-72.96  
5.2     	-73.45  
5.6     	-73.9   
6       	-74.32  
6.4     	-74.71  
6.8     	-75.08  
7.2     	-75.41  
7.6     	-75.72  
8       	-76     
8.4     	-76.26  
8.8     	-76.51  
9.2     	-76.74  
9.6     	-76.96  
10      	-77.15  
10.4    	-77.33  
10.8    	-77.49  
11.2    	-77.65  
11.6    	-77.8   
12      	-77.94  
12.4    	-78.07  
12.8    	-78.19  
13.2    	-78.29  
13.6    	-78.37  
14      	-78.46  
14.4    	-78.53  
14.8    	-78.61  
15.2    	-78.67  
15.6    	-78.72  
16      	-78.77  
16.4    	-78.8   
16.8    	-78.8   
17.2    	-78.63  
17.6    	-77.97  
18      	-75.43  
18.4    	-64.71  
18.8    	-20.38  
19.2    	43.74   
19.6    	33.86   
20      	17.23   
20.4    	-0.6916 
20.8    	-18.46  
21.2    	-37.35  
21.6    	-54.49  
22      	-65.77  
22.4    	-72.13  
22.8    	-75.66  
23.2    	-77.68  
23.6    	-78.87  
24      	-79.61  
24.4    	-80.09  
24.8    	-80.41  
25.2    	-80.63  
25.6    	-80.77  
26      	-80.87  
26.4    	-80.94  
26.8    	-80.98  
27.2    	-81     
27.6    	-81.01  
28      	-81     
28.4    	-80.99  
28.8    	-80.96  
29.2    	-80.93  
29.6    	-80.89  
30      	-80.84  
30.4    	-80.78  
30.8    	-80.73  
31.2    	-80.67  
31.6    	-80.62  
32      	-80.56  
32.4    	-80.5   
32.8    	-80.43  
33.2    	-80.37  
33.6    	-80.32  
34      	-80.27  
34.4    	-80.23  
34.8    	-80.19  
35.2    	-80.16  
35.6    	-80.13  
36      	-80.1   
36.4    	-80.07  
36.8    	-80.04  
37.2    	-80.01  
37.6    	-79.95  
38      	-79.69  
38.4    	-78.9   
38.8    	-76.14  
39.2    	-65.03  
39.6    	-20.55  
40      	43.71   
40.4    	33.9    
40.8    	17.29   
41.2    	-0.6219 
41.6    	-18.38  
42      	-37.25  
42.4    	-54.38  
42.8    	-65.68  
43.2    	-72.06  
43.6    	-75.61  
44      	-77.64  
44.4    	-78.84  
44.8    	-79.59  
45.2    	-80.08  
45.6    	-80.41  
46      	-80.63  
46.4    	-80.79  
46.8    	-80.91  
47.2    	-81     
47.6    	-81.06  
48      	-81.11  
48.4    	-81.15  
48.8    	-81.19  
49.2    	-81.21  
49.6    	-81.23  
50      	-81.24  
50.4    	-81.25  
50.8    	-81.26  
51.2    	-81.27  
51.6    	-81.27  
52      	-81.26  
52.4    	-81.24  
52.8    	-81.21  
53.2    	-81.18  
53.6    	-81.14  
54      	-81.1   
54.4    	-81.05  
54.8    	-81     
55.2    	-80.95  
55.6    	-80.9   
56      	-80.86  
56.4    	-80.82  
56.8    	-80.79  
57.2    	-80.76  
57.6    	-80.73  
58      	-80.7   
58.4    	-80.68  
58.8    	-80.67  
59.2    	-80.65  
59.6    	-80.65  
60      	-80.64  
60.4    	-80.64  
60.8    	-80.64  
61.2    	-80.64  
61.6    	-80.63  
62      	-80.63  
62.4    	-80.62  
62.8    	-80.61  
63.2    	-80.61  
63.6    	-80.6   
64      	-80.6   
64.4    	-80.59  
64.8    	-80.59  
65.2    	-80.58  
65.6    	-80.57  
66      	-80.55  
66.4    	-80.53  
66.8    	-80.51  
67.2    	-80.49  
67.6    	-80.46  
68      	-80.43  
68.4    	-80.33  
68.8    	-79.94  
69.2    	-78.85  
69.6    	-74.82  
70      	-58.85  
70.4    	13.57   
70.8    	42.66   
71.2    	30.1    
71.6    	12.86   
72      	-4.99   
72.4    	-22.94  
72.8    	-41.83  
73.2    	-57.74  
73.6    	-67.61  
74      	-73.12  
74.4    	-76.2   
74.8    	-77.97  
75.2    	-79.04  
75.6    	-79.7   
76      	-80.13  
76.4    	-80.42  
