
SWEPT_VAR_1 = 85.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.7   
3.6     	-71.33  
4       	-71.92  
4.4     	-72.49  
4.8     	-73.02  
5.2     	-73.53  
5.6     	-74.01  
6       	-74.46  
6.4     	-74.88  
6.8     	-75.26  
7.2     	-75.62  
7.6     	-75.96  
8       	-76.28  
8.4     	-76.57  
8.8     	-76.84  
9.2     	-77.1   
9.6     	-77.34  
10      	-77.58  
10.4    	-77.8   
10.8    	-78.01  
11.2    	-78.21  
11.6    	-78.41  
12      	-78.6   
12.4    	-78.78  
12.8    	-78.96  
13.2    	-79.13  
13.6    	-79.3   
14      	-79.45  
14.4    	-79.6   
14.8    	-79.73  
15.2    	-79.85  
15.6    	-79.97  
16      	-80.07  
16.4    	-80.18  
16.8    	-80.27  
17.2    	-80.34  
17.6    	-80.41  
18      	-80.47  
18.4    	-80.52  
18.8    	-80.58  
19.2    	-80.63  
19.6    	-80.67  
20      	-80.71  
20.4    	-80.74  
20.8    	-80.77  
21.2    	-80.8   
21.6    	-80.82  
22      	-80.85  
22.4    	-80.87  
22.8    	-80.89  
23.2    	-80.92  
23.6    	-80.95  
24      	-80.98  
24.4    	-81.01  
24.8    	-81.05  
25.2    	-81.08  
25.6    	-81.12  
26      	-81.16  
26.4    	-81.21  
26.8    	-81.24  
27.2    	-81.27  
27.6    	-81.29  
28      	-81.3   
28.4    	-81.31  
28.8    	-81.32  
29.2    	-81.32  
29.6    	-81.33  
30      	-81.34  
30.4    	-81.35  
30.8    	-81.36  
31.2    	-81.38  
31.6    	-81.39  
32      	-81.4   
32.4    	-81.41  
32.8    	-81.42  
33.2    	-81.42  
33.6    	-81.43  
34      	-81.43  
34.4    	-81.43  
34.8    	-81.44  
35.2    	-81.43  
35.6    	-81.41  
36      	-81.39  
36.4    	-81.36  
36.8    	-81.31  
37.2    	-81.19  
37.6    	-80.82  
38      	-79.86  
38.4    	-76.7   
38.8    	-64.54  
39.2    	-16.88  
39.6    	43.62   
40      	33.38   
40.4    	16.68   
40.8    	-1.214  
41.2    	-18.97  
41.6    	-37.84  
42      	-54.79  
42.4    	-65.9   
42.8    	-72.18  
43.2    	-75.68  
43.6    	-77.68  
44      	-78.87  
44.4    	-79.62  
44.8    	-80.11  
45.2    	-80.45  
45.6    	-80.69  
46      	-80.87  
46.4    	-81.01  
46.8    	-81.12  
47.2    	-81.22  
47.6    	-81.3   
48      	-81.37  
48.4    	-81.43  
48.8    	-81.48  
49.2    	-81.53  
49.6    	-81.57  
50      	-81.59  
50.4    	-81.61  
50.8    	-81.63  
51.2    	-81.63  
51.6    	-81.64  
52      	-81.63  
52.4    	-81.63  
52.8    	-81.61  
53.2    	-81.6   
53.6    	-81.59  
54      	-81.57  
54.4    	-81.55  
54.8    	-81.53  
55.2    	-81.51  
55.6    	-81.48  
56      	-81.45  
56.4    	-81.41  
56.8    	-81.38  
57.2    	-81.34  
57.6    	-81.31  
58      	-81.27  
58.4    	-81.23  
58.8    	-81.2   
59.2    	-81.16  
59.6    	-81.11  
60      	-81.05  
60.4    	-80.85  
60.8    	-80.25  
61.2    	-78.56  
61.6    	-72.15  
62      	-47.84  
62.4    	38.65   
62.8    	39.64   
63.2    	24.86   
63.6    	7.155   
64      	-10.54  
64.4    	-28.89  
64.8    	-47.36  
65.2    	-61.4   
65.6    	-69.66  
66      	-74.26  
66.4    	-76.85  
66.8    	-78.35  
67.2    	-79.27  
67.6    	-79.84  
68      	-80.22  
68.4    	-80.48  
68.8    	-80.65  
69.2    	-80.78  
69.6    	-80.87  
70      	-80.93  
70.4    	-80.97  
70.8    	-80.98  
71.2    	-80.98  
71.6    	-80.96  
72      	-80.95  
72.4    	-80.93  
72.8    	-80.91  
73.2    	-80.89  
73.6    	-80.87  
74      	-80.85  
74.4    	-80.8   
74.8    	-80.65  
75.2    	-80.15  
75.6    	-78.78  
76      	-73.64  
