
SWEPT_VAR_1 = 15.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.05  
3.2     	-70.69  
3.6     	-71.3   
4       	-71.86  
4.4     	-72.37  
4.8     	-72.85  
5.2     	-73.3   
5.6     	-73.71  
6       	-74.1   
6.4     	-74.45  
6.8     	-74.71  
7.2     	-74.69  
7.6     	-73.82  
8       	-68.87  
8.4     	-45.68  
8.8     	40.22   
9.2     	39.11   
9.6     	23.94   
10      	6.126   
10.4    	-11.59  
10.8    	-30.06  
11.2    	-48.51  
11.6    	-62.22  
12      	-70.15  
12.4    	-74.52  
12.8    	-76.96  
13.2    	-78.36  
13.6    	-79.2   
14      	-79.72  
14.4    	-80.05  
14.8    	-80.25  
15.2    	-80.37  
15.6    	-80.4   
16      	-80.31  
16.4    	-79.98  
16.8    	-79.23  
17.2    	-76.88  
17.6    	-67.85  
18      	-34.22  
18.4    	42.44   
18.8    	35.76   
19.2    	19.81   
19.6    	1.99    
20      	-15.65  
20.4    	-34.28  
20.8    	-51.88  
21.2    	-64.08  
21.6    	-71.07  
22      	-74.94  
22.4    	-77.11  
22.8    	-78.37  
23.2    	-79.12  
23.6    	-79.57  
24      	-79.84  
24.4    	-80     
24.8    	-80.06  
25.2    	-80.06  
25.6    	-80.01  
26      	-79.92  
26.4    	-79.8   
26.8    	-79.66  
27.2    	-79.49  
27.6    	-79.3   
28      	-79.05  
28.4    	-78.74  
28.8    	-78.37  
29.2    	-77.95  
29.6    	-77.54  
30      	-77.16  
30.4    	-76.84  
30.8    	-76.56  
31.2    	-76.31  
31.6    	-76.09  
32      	-75.88  
32.4    	-75.69  
32.8    	-75.52  
33.2    	-75.36  
33.6    	-75.21  
34      	-75.07  
34.4    	-74.93  
34.8    	-74.8   
35.2    	-74.67  
35.6    	-74.55  
36      	-74.43  
36.4    	-74.31  
36.8    	-74.19  
37.2    	-74.07  
37.6    	-73.94  
38      	-73.81  
38.4    	-73.68  
38.8    	-73.55  
39.2    	-73.42  
39.6    	-73.3   
40      	-73.18  
40.4    	-73.05  
40.8    	-72.9   
41.2    	-72.59  
41.6    	-70.88  
42      	-60.89  
42.4    	-7.32   
42.8    	43.54   
43.2    	32.09   
43.6    	15.07   
44      	-2.833  
44.4    	-20.63  
44.8    	-39.54  
45.2    	-56.13  
45.6    	-66.67  
46      	-72.53  
46.4    	-75.76  
46.8    	-77.57  
47.2    	-78.62  
47.6    	-79.24  
48      	-79.61  
48.4    	-79.82  
48.8    	-79.93  
49.2    	-79.96  
49.6    	-79.93  
50      	-79.87  
50.4    	-79.77  
50.8    	-79.65  
51.2    	-79.49  
51.6    	-79.31  
52      	-79.1   
52.4    	-78.88  
52.8    	-78.65  
53.2    	-78.41  
53.6    	-78.17  
54      	-77.93  
54.4    	-77.7   
54.8    	-77.48  
55.2    	-77.26  
55.6    	-77.05  
56      	-76.85  
56.4    	-76.65  
56.8    	-76.46  
57.2    	-76.27  
57.6    	-76.08  
58      	-75.88  
58.4    	-75.67  
58.8    	-75.45  
59.2    	-75.23  
59.6    	-75.02  
60      	-74.8   
60.4    	-74.58  
60.8    	-74.35  
61.2    	-74.09  
61.6    	-73.8   
62      	-73.3   
62.4    	-70.99  
62.8    	-58.41  
63.2    	10.44   
63.6    	42.9    
64      	30.34   
64.4    	13.08   
64.8    	-4.789  
65.2    	-22.7   
65.6    	-41.6   
66      	-57.6   
66.4    	-67.48  
66.8    	-72.95  
67.2    	-75.95  
67.6    	-77.64  
68      	-78.61  
68.4    	-79.18  
68.8    	-79.5   
69.2    	-79.67  
69.6    	-79.74  
70      	-79.75  
70.4    	-79.72  
70.8    	-79.64  
71.2    	-79.53  
71.6    	-79.38  
72      	-79.22  
72.4    	-79.04  
72.8    	-78.85  
73.2    	-78.65  
73.6    	-78.44  
74      	-78.23  
74.4    	-78.02  
74.8    	-77.81  
75.2    	-77.61  
75.6    	-77.41  
76      	-77.21  
76.4    	-77.02  
