
SWEPT_VAR_1 = 5.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
0       	-64.65  
0.4     	-65.51  
0.8     	-66.35  
1.2     	-67.15  
1.6     	-67.92  
2       	-68.66  
2.4     	-69.37  
2.8     	-70.04  
3.2     	-70.63  
3.6     	-71.15  
4       	-71.59  
4.4     	-71.96  
4.8     	-72.24  
5.2     	-72.42  
5.6     	-72.19  
6       	-69.9   
6.4     	-56.74  
6.8     	18.21   
7.2     	42.52   
7.6     	29.42   
8       	12.02   
8.4     	-5.829  
8.8     	-23.81  
9.2     	-42.7   
9.6     	-58.39  
10      	-67.94  
10.4    	-73.19  
10.8    	-76.08  
11.2    	-77.68  
11.6    	-78.6   
12      	-79.11  
12.4    	-79.39  
12.8    	-79.52  
13.2    	-79.54  
13.6    	-79.47  
14      	-79.33  
14.4    	-79.14  
14.8    	-78.91  
15.2    	-78.65  
15.6    	-78.37  
16      	-78.08  
16.4    	-77.76  
16.8    	-77.41  
17.2    	-77.06  
17.6    	-76.69  
18      	-76.3   
18.4    	-75.9   
18.8    	-75.38  
19.2    	-73.94  
19.6    	-66.94  
20      	-35.43  
20.4    	43.08   
20.8    	36.44   
21.2    	20.45   
21.6    	2.57    
22      	-15.05  
22.4    	-33.64  
22.8    	-51.38  
23.2    	-63.76  
23.6    	-70.79  
24      	-74.63  
24.4    	-76.74  
24.8    	-77.9   
25.2    	-78.54  
25.6    	-78.87  
26      	-79     
26.4    	-79.02  
26.8    	-78.94  
27.2    	-78.8   
27.6    	-78.59  
28      	-78.34  
28.4    	-78.04  
28.8    	-77.72  
29.2    	-77.37  
29.6    	-76.99  
30      	-76.58  
30.4    	-76.13  
30.8    	-75.49  
31.2    	-73.69  
31.6    	-65.2   
32      	-27.34  
32.4    	43.5    
32.8    	34.76   
33.2    	18.38   
33.6    	0.496   
34      	-17.14  
34.4    	-35.82  
34.8    	-53.1   
35.2    	-64.74  
35.6    	-71.28  
36      	-74.84  
36.4    	-76.78  
36.8    	-77.85  
37.2    	-78.41  
37.6    	-78.69  
38      	-78.78  
38.4    	-78.76  
38.8    	-78.65  
39.2    	-78.47  
39.6    	-78.25  
40      	-77.99  
40.4    	-77.7   
40.8    	-77.37  
41.2    	-77     
41.6    	-76.61  
42      	-76.18  
42.4    	-75.7   
42.8    	-74.96  
43.2    	-72.58  
43.6    	-61.15  
44      	-5.805  
44.4    	43.16   
44.8    	31.77   
45.2    	14.8    
45.6    	-3.036  
46      	-20.75  
46.4    	-39.48  
46.8    	-55.85  
47.2    	-66.28  
47.6    	-72.06  
48      	-75.21  
48.4    	-76.92  
48.8    	-77.84  
49.2    	-78.32  
49.6    	-78.52  
50      	-78.56  
50.4    	-78.48  
50.8    	-78.33  
51.2    	-78.13  
51.6    	-77.88  
52      	-77.6   
52.4    	-77.28  
52.8    	-76.94  
53.2    	-76.57  
53.6    	-76.16  
54      	-75.69  
54.4    	-74.97  
54.8    	-73.07  
55.2    	-64.25  
55.6    	-23.8   
56      	43.52   
56.4    	34.12   
56.8    	17.6    
57.2    	-0.2699 
57.6    	-17.9   
58      	-36.58  
58.4    	-53.67  
58.8    	-65.04  
59.2    	-71.42  
59.6    	-74.9   
60      	-76.8   
60.4    	-77.86  
60.8    	-78.44  
61.2    	-78.72  
61.6    	-78.81  
62      	-78.78  
62.4    	-78.67  
62.8    	-78.5   
63.2    	-78.28  
63.6    	-78.03  
64      	-77.74  
64.4    	-77.42  
64.8    	-77.07  
65.2    	-76.7   
65.6    	-76.3   
66      	-75.84  
66.4    	-75.07  
66.8    	-72.5   
67.2    	-60.22  
67.6    	0.2433  
68      	42.98   
68.4    	31.16   
68.8    	14.1    
69.2    	-3.729  
69.6    	-21.49  
70      	-40.25  
70.4    	-56.44  
70.8    	-66.65  
71.2    	-72.32  
71.6    	-75.4   
72      	-77.1   
72.4    	-78.04  
72.8    	-78.53  
73.2    	-78.77  
73.6    	-78.84  
74      	-78.8   
74.4    	-78.69  
74.8    	-78.52  
75.2    	-78.3   
75.6    	-78.04  
76      	-77.75  
76.4    	-77.43  
